"1","Jones","Jones","Jones","Jones","Jones","Jones","Jones","Jones","Jones","Jones","Jones","Overvote","Smith","Smith","Smith","Smith","Smith","Smith","Smith","Smith","Smith","Smith","Smith","Smith","Stevens","Stevens","Stevens","Stevens","Stevens","Stevens","Stevens","Stevens","Stevens","Stevens","Stevens","Stevens","Stevens","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank"
"05-860 Cordova","19","0","10","19","0","0","9","0","0","0","0","0","52","5","0","12","1","0","9","16","0","0","0","0","190","5","0","25","0","0","30","57","0","1","1","0","1","0","0","0","0","1","0","0","0","0","0","52"
"05-865 Seward-Lowell Point","29","0","23","29","0","3","3","0","0","0","0","0","41","13","0","17","0","0","11","20","0","0","1","0","146","5","0","19","0","0","23","55","0","1","0","0","0","3","1","0","0","0","0","1","0","0","0","115"
"05-870 Tatitlek","1","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"06-200 Anchor Point","60","0","34","21","3","8","24","1","0","0","0","0","192","101","0","45","2","0","28","64","0","0","0","0","129","7","0","23","0","0","29","56","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","66"
"06-210 Diamond Ridge","12","0","10","7","0","3","3","0","0","0","0","0","85","48","0","12","0","0","23","21","0","0","0","0","131","8","0","11","0","0","22","35","0","0","2","0","0","3","0","0","0","0","1","0","0","0","0","49"
"06-220 Fox River","8","0","5","4","0","2","4","0","0","0","0","0","83","39","0","13","1","0","9","10","0","2","1","0","54","1","0","5","0","0","10","12","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","21"
"06-230 Homer No. 1","10","0","14","6","0","7","3","0","0","0","0","0","164","70","0","17","0","0","20","34","0","0","0","0","211","6","0","20","0","0","40","34","0","1","0","0","0","2","0","0","0","0","0","1","2","0","0","74"
"06-240 Homer No. 2","19","0","12","3","0","4","6","0","0","0","0","1","103","81","0","24","0","0","35","41","0","1","0","0","153","7","0","26","1","0","31","36","0","0","0","0","0","4","0","0","1","0","0","0","0","0","0","69"
"06-250 Kachemak-Fritz Creek","13","0","7","10","0","3","6","0","0","0","0","0","139","67","0","13","3","1","40","37","0","1","0","0","253","8","0","23","1","0","51","41","0","0","1","0","0","5","0","0","0","0","0","0","1","0","0","66"
"06-260 Kasilof","70","0","46","29","0","6","22","0","0","0","0","0","166","57","1","36","1","1","26","75","0","0","1","0","265","7","0","49","0","1","46","91","0","1","1","0","1","7","1","0","0","0","0","0","0","0","0","166"
"06-270 Ninilchik","48","1","18","3","0","4","26","0","2","0","0","0","110","44","0","19","2","0","15","36","1","2","0","0","92","3","0","23","0","0","13","44","1","1","0","0","0","1","0","1","2","0","0","0","0","0","0","68"
"06-280 Seldovia-Kachemak Bay","7","0","3","0","0","0","3","0","0","0","0","0","14","4","0","5","0","0","4","5","0","0","0","0","69","1","0","5","0","0","9","15","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","24"
"District 5 - Absentee","76","0","48","63","1","8","13","0","0","0","0","4","109","47","0","42","2","1","24","37","1","2","3","0","821","17","0","75","0","0","94","172","0","2","3","1","1","26","1","2","0","0","2","1","2","1","5","210"
"District 5 - Early Voting","1","0","1","0","0","0","1","0","0","0","0","0","4","0","0","2","0","0","0","1","0","0","0","0","15","1","0","3","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","5"
"District 5  - Question","4","0","2","4","0","3","0","0","0","0","0","0","6","1","0","4","0","0","1","1","0","0","0","0","28","2","0","4","0","0","0","11","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","93"
"District 6 - Absentee","101","0","43","33","0","9","18","0","1","1","1","2","242","90","0","30","2","0","92","70","1","3","1","2","643","17","0","69","1","0","118","139","0","2","8","3","4","15","0","0","1","3","0","1","0","1","1","239"
"District 6 - Early Voting","38","0","24","16","2","4","15","0","0","0","0","0","240","102","0","33","6","0","62","84","0","1","0","1","702","28","0","47","0","0","147","132","0","2","4","0","1","15","1","0","2","0","0","0","0","0","0","167"
"District 6  - Question","3","0","0","4","0","1","2","0","0","0","0","0","26","9","0","6","0","0","4","9","0","0","0","0","34","1","0","2","0","0","1","8","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","77"
"Total","654","3","357","350","6","73","189","1","3","1","1","7","1992","867","1","399","21","4","449","614","3","14","7","3","5111","161","1","565","3","1","734","1271","1","11","23","5","11","89","4","4","7","4","3","4","5","4","7","1788"
