"1","Begich","Begich","Begich","Begich","Palin","Palin","Palin","Palin","Peltola","Peltola","Peltola","Peltola","Blank","Exhausted","Overvote"
"18-560 North Muldoon","11","0","25","8","19","45","0","3","89","79","0","14","1","1","1"
"18-565 Ship Creek","3","0","3","2","5","13","0","2","35","20","0","3","1","0","0"
"19-605 Airport Heights No. 1","19","0","62","14","41","59","1","7","291","201","0","32","3","1","2"
"19-610 Airport Heights No. 2","25","0","70","17","45","84","0","19","172","149","0","33","2","0","0"
"19-615 Mountainview No. 1","7","0","34","4","22","33","0","4","112","66","0","18","3","0","1"
"19-620 Mountainview No. 2","8","0","31","11","23","33","0","5","67","53","0","15","0","0","1"
"19-625 South Mountainview","11","0","50","13","23","62","0","11","85","87","0","21","2","3","1"
"20-650 University No. 1","15","0","25","11","12","19","0","8","67","46","0","9","1","0","2"
"20-655 University No. 2","55","0","80","18","46","77","0","11","182","182","0","40","4","7","0"
"20-660 University No. 3","30","0","118","30","39","88","1","13","214","231","1","30","5","4","0"
"20-665 University No. 4","18","0","53","11","16","35","0","0","105","116","0","6","2","2","1"
"20-670 University No. 5","71","0","220","29","71","153","0","11","327","302","1","37","9","1","1"
"21-705 East Anchorage No. 1","51","0","134","20","40","73","0","5","218","167","0","26","7","3","5"
"21-710 East Anchorage No. 2","36","0","167","17","57","144","0","8","161","171","0","18","7","0","0"
"21-715 East Anchorage No. 3","52","1","158","44","69","165","0","20","236","218","1","39","12","0","3"
"21-720 East Anchorage No. 4","41","1","175","21","44","105","0","8","231","179","0","20","11","3","2"
"21-725 East Anchorage No. 5","66","0","223","37","55","158","0","17","292","255","1","28","13","5","1"
"22-750 Northeast Anchorage No. 1","27","0","87","28","80","102","0","16","179","150","0","30","5","0","0"
"22-755 Northeast Anchorage No. 2","23","1","110","17","61","94","0","15","154","138","1","30","3","1","1"
"22-760 Northeast Anchorage No. 3","33","0","127","25","64","107","0","20","224","163","0","31","4","2","1"
"22-765 Northeast Anchorage No. 4","18","0","75","19","34","58","0","24","116","105","0","21","1","3","0"
"23-805 Chugach Park No. 1","72","0","302","41","76","217","0","11","253","234","0","31","1","8","1"
"23-810 Eagle River No. 1","46","0","171","26","74","171","0","9","120","125","0","29","1","4","0"
"23-815 Eagle River No. 2","32","0","175","31","56","120","0","13","130","145","0","23","5","2","0"
"23-820 Hiland","45","0","173","25","47","155","0","6","104","121","0","19","1","2","0"
"23-825 Meadow Creek No. 1","40","0","191","29","78","156","0","17","178","150","1","23","0","5","1"
"23-830 Meadow Creek No. 2","29","1","132","20","44","112","0","6","84","82","0","6","1","1","0"
"24-850 Chugach Park No. 2","67","0","199","41","58","167","0","5","124","125","0","21","6","1","2"
"24-855 Chugiak","29","0","75","10","33","80","0","9","61","65","1","7","0","0","0"
"24-860 Eagle River No. 3","51","0","113","25","53","125","0","13","111","93","0","21","5","1","0"
"24-865 Eklutna","71","0","199","22","50","142","0","9","113","143","0","12","5","4","1"
"24-870 Fire Lake","66","0","229","34","62","149","0","12","112","151","1","16","4","0","0"
"24-875 Peters Creek No. 1","111","1","323","47","63","232","0","7","145","133","0","19","3","2","1"
"24-880 Peters Creek No. 2","53","0","154","23","59","112","0","6","89","77","1","14","2","2","1"
"25-305 Butte","92","0","333","39","123","305","0","17","133","143","0","19","4","8","2"
"25-310 Greater Palmer","36","0","161","15","65","121","0","8","75","83","0","16","2","1","0"
"25-315 Lazy Mountain","59","0","221","17","67","159","0","14","97","117","0","16","5","4","1"
"25-320 Palmer City No. 1","41","0","116","18","60","117","0","14","124","110","0","14","6","2","0"
"25-325 Palmer City No. 2","29","0","111","12","47","120","0","4","80","72","1","20","5","3","2"
"25-330 Springer Loop","41","0","184","22","84","170","0","6","121","96","0","26","1","0","0"
"25-335 Walby","39","0","213","21","76","185","1","11","68","76","0","26","4","3","1"
"26-350 Fairview No. 1","27","0","166","9","65","155","0","3","42","38","0","8","1","2","0"
"26-355 Fairview No. 2","18","0","78","12","41","103","0","9","56","36","0","10","1","1","1"
"26-360 Knik Goose Bay No. 1","49","0","221","26","168","315","0","31","108","86","2","26","3","3","2"
"26-365 Knik Goose Bay No. 2","36","0","148","21","89","224","0","14","71","55","0","17","2","4","0"
"26-370 Knik Goose Bay No. 3","22","0","93","6","62","128","1","18","39","30","0","12","2","0","0"
"26-375 Mat-Su Campus","34","0","173","17","64","155","0","13","86","79","0","18","1","3","0"
"26-380 Snowshoe","55","2","279","24","117","274","0","20","95","79","0","25","8","7","2"
"27-405 Foothills","27","0","171","12","73","203","0","17","65","58","0","11","2","2","0"
"27-410 Meadow Lakes No. 1","47","0","243","11","154","290","2","23","94","80","0","21","5","3","1"
"27-415 Meadow Lakes No. 2","39","1","171","13","117","251","0","15","61","68","0","11","2","5","1"
"27-420 Wasilla No. 1","40","0","182","20","90","181","0","15","88","69","1","22","4","5","1"
"27-425 Wasilla No. 2","54","0","260","19","133","283","1","23","100","84","0","21","3","2","2"
"28-450 Lakes No. 1","31","0","132","23","60","151","0","12","72","53","1","12","6","2","0"
"28-455 Lakes No. 2","31","0","114","16","60","99","0","6","43","52","0","11","2","4","0"
"28-460 Seldon No. 1","72","0","218","22","96","188","0","10","62","75","0","13","7","4","3"
"28-465 Seldon No. 2","61","1","230","29","114","265","1","19","136","136","0","21","11","0","4"
"28-470 Seward Meridian","25","0","124","12","54","94","0","9","43","51","0","7","4","1","0"
"28-475 Trunk","55","0","191","23","76","189","1","8","88","106","0","13","4","1","1"
"28-480 Wasilla Lake","31","0","95","8","57","84","0","5","48","40","0","9","7","0","0"
"29-505 Farm Loop","64","1","308","25","109","255","0","12","100","103","0","9","7","7","6"
"29-510 Fishhook","79","0","373","39","144","309","0","15","148","155","0","24","11","5","1"
"29-515 Kings Lake","48","0","266","18","121","220","0","13","84","89","0","22","6","3","0"
"29-520 Lakes No. 3","34","0","96","7","38","104","0","3","41","38","0","13","2","3","0"
"29-525 Sheep Mountain","11","0","51","1","10","24","0","0","22","6","0","0","2","1","0"
"29-530 Sutton","37","0","99","10","76","95","0","4","78","56","0","7","4","2","0"
"29-535 Valdez No. 1","21","0","62","14","48","64","0","2","92","88","1","19","2","3","1"
"29-540 Valdez No. 2","14","0","37","6","35","39","0","0","54","39","0","5","2","1","0"
"29-545 Valdez No. 3","29","0","44","10","52","67","0","6","67","58","0","7","10","3","0"
"30-550 Anderson/Clear","5","0","26","1","27","29","0","6","10","14","0","2","2","0","0"
"30-555 Big Lake","60","0","253","20","191","323","0","39","108","90","0","23","5","5","5"
"30-560 Cantwell","4","0","9","3","12","13","0","1","27","16","0","2","0","0","0"
"30-565 Denali Park","2","0","4","2","1","4","0","1","40","21","0","4","0","0","0"
"30-570 East Schrock","4","0","19","3","15","29","0","3","14","6","0","1","1","1","0"
"30-575 Healy","16","0","78","10","36","55","0","5","65","61","0","5","2","1","0"
"30-580 Houston","22","0","89","13","112","171","0","20","63","52","0","12","8","2","1"
"30-585 Knik Goose Bay No. 4","43","1","263","18","149","279","1","29","80","75","0","26","2","5","3"
"30-590 Trapper Creek","5","0","26","3","43","45","0","5","22","8","0","4","0","0","0"
"30-595 Susitna","26","0","75","8","90","127","0","11","75","49","0","7","4","2","1"
"30-600 Talkeetna","9","0","30","4","36","37","0","3","113","75","0","5","2","6","0"
"30-605 Willow","38","1","167","20","180","241","2","25","128","106","0","24","6","2","1"
"31-446 Aurora","34","0","125","25","79","169","0","15","199","169","0","35","3","2","0"
"31-455 Fairbanks No. 1","31","0","120","24","78","169","0","13","221","210","0","37","4","4","1"
"31-480 Fairbanks No. 2","45","0","133","40","64","137","0","20","213","188","0","26","6","1","1"
"31-485 Fairbanks No. 3","23","1","88","27","59","132","1","29","176","153","2","32","1","4","3"
"32-355 Fairbanks No. 4","46","0","94","18","53","123","0","17","160","125","2","21","6","2","1"
"32-365 Fairbanks No. 5","30","0","74","17","54","113","0","9","117","108","0","22","4","4","0"
"32-375 Fort Wainwright","9","0","26","3","3","38","0","0","22","20","0","10","0","1","0"
"32-385 Badger No. 2","56","0","183","31","131","280","0","19","136","138","0","19","7","1","0"
"33-130 Badger No. 1","43","1","204","21","138","272","0","14","117","130","0","21","5","2","1"
"33-135 Chena Lakes","52","0","213","24","148","298","0","13","87","82","0","20","6","7","2"
"33-155 Moose Creek","3","0","15","1","24","42","0","5","12","6","0","5","3","0","0"
"33-165 Newby","56","0","257","17","132","380","0","17","122","114","0","25","6","12","2"
"33-175 North Pole","34","0","118","23","67","148","0","14","57","48","0","19","3","2","1"
"33-183 Plack","53","1","205","19","95","364","0","26","92","65","0","28","5","3","0"
"34-235 Eielson","3","0","31","6","18","70","0","2","23","22","0","5","2","0","0"
"34-238 Eielson Farm Road","5","0","16","2","3","10","0","2","9","10","0","1","0","0","0"
"34-240 Farmers Loop","20","0","110","26","63","123","0","11","266","222","0","32","3","3","0"
"34-260 Salcha","20","0","73","11","89","122","0","15","39","48","0","9","0","4","0"
"34-263 Steele Creek","32","0","178","28","87","284","0","14","187","158","0","28","6","2","2"
"34-265 Steese","64","0","195","33","112","230","0","20","199","157","0","24","1","2","1"
"34-270 Summit","45","0","173","16","77","169","0","9","161","131","0","30","3","2","1"
"34-280 Two Rivers","31","0","77","10","54","117","0","13","87","68","0","12","3","1","1"
"35-580 Airport","16","0","36","12","35","77","0","5","46","47","0","17","1","0","0"
"35-582 Chena","57","0","226","34","63","264","1","24","319","281","0","46","2","5","0"
"35-584 Ester","21","0","66","16","26","87","0","10","200","136","0","13","0","2","1"
"35-586 Geist","26","0","57","20","30","105","0","14","134","119","0","27","2","3","0"
"35-587 Lakeview","6","0","10","2","27","29","0","4","22","12","0","4","0","0","0"
"35-592 Shanly","8","0","33","2","34","66","0","4","111","102","0","24","0","0","1"
"35-595 University Hills","8","0","69","15","10","75","0","6","195","194","0","14","0","2","0"
"35-596 University West","36","0","166","51","97","211","1","19","314","267","1","45","1","2","0"
"36-001 Goldstream No. 1","33","0","101","11","31","96","0","5","188","140","0","21","6","3","0"
"36-002 Goldstream No. 2","27","0","73","10","29","78","0","6","245","204","0","24","2","0","1"
"36-010 Allakaket","1","0","0","1","1","1","0","0","34","16","0","2","0","0","0"
"36-014 Anvik","1","0","0","0","1","1","0","0","11","9","0","3","1","0","0"
"36-018 Arctic Village","1","0","0","0","0","1","0","0","20","7","0","3","0","0","0"
"36-022 Beaver","1","0","0","0","0","2","0","0","8","11","0","1","0","1","0"
"36-026 Bettles","2","0","4","1","0","1","0","0","5","3","0","0","0","0","0"
"36-034 Central","3","0","4","3","14","7","0","1","5","3","0","0","1","0","0"
"36-038 Chistochina","4","0","6","0","21","14","0","1","17","6","0","1","0","0","0"
"36-042 Circle","3","0","0","1","2","0","0","1","10","3","1","0","1","0","0"
"36-046 Copper Center","16","0","38","5","34","73","0","4","36","59","1","7","5","0","0"
"36-050 Delta Junction","37","0","78","10","56","71","0","4","15","19","0","3","5","3","0"
"36-054 Deltana","124","0","280","21","159","270","0","9","82","70","0","11","16","3","4"
"36-058 Dot Lake","2","0","6","0","15","14","0","1","1","2","0","0","0","0","0"
"36-062 Eagle","5","0","8","0","14","6","0","1","7","3","0","0","0","0","1"
"36-066 Fort Yukon","4","0","2","1","3","6","0","1","70","36","0","4","2","0","0"
"36-070 Gakona","10","0","14","2","8","11","0","0","18","14","0","2","0","0","0"
"36-074 Galena","8","0","3","5","6","7","0","2","60","34","0","6","0","1","0"
"36-078 Glennallen","7","0","34","1","25","37","0","1","21","16","0","2","2","2","0"
"36-082 Grayling","1","0","3","0","8","3","0","1","22","6","0","3","1","1","1"
"36-086 Holy Cross","0","0","1","0","1","2","0","0","10","14","0","2","0","0","1"
"36-090 Hughes","1","0","2","0","2","1","0","0","8","15","0","1","2","0","0"
"36-094 Huslia","5","0","2","1","2","3","0","0","32","32","0","1","0","0","0"
"36-098 Kaltag","1","0","0","1","0","0","0","0","36","7","0","2","0","0","0"
"36-102 Kenny Lake","11","0","21","3","24","40","0","1","30","17","0","3","2","1","0"
"36-106 Koyukuk","0","0","0","1","1","0","0","1","16","10","0","2","1","1","0"
"36-110 Manley","3","0","4","0","18","8","1","0","5","6","0","0","0","0","0"
"36-114 McGrath","6","0","15","5","10","11","0","0","21","11","0","2","1","0","0"
"36-118 Mentasta","0","0","2","0","4","1","0","1","15","6","0","2","0","0","0"
"36-122 Minto","2","0","3","0","4","1","0","0","16","16","0","2","0","0","1"
"36-126 Nenana","20","0","46","6","31","51","0","4","59","40","0","8","4","2","0"
"36-130 Nikolai","4","0","0","2","2","1","0","0","15","11","0","3","0","1","0"
"36-134 Northway","4","0","1","4","7","1","0","0","32","22","0","2","3","0","0"
"36-138 Nulato","3","0","0","4","0","0","0","0","33","23","0","3","0","0","1"
"36-142 Ruby","4","0","1","1","2","0","0","0","18","8","0","1","0","0","0"
"36-146 Shageluk","0","0","0","1","0","0","0","0","13","7","0","1","0","0","0"
"36-162 Tanana","1","0","0","0","1","1","0","0","42","17","0","1","0","0","0"
"36-166 Tetlin","1","0","0","1","0","1","0","0","3","13","0","5","0","0","0"
"36-170 Tok","39","0","49","12","113","121","0","11","65","41","0","16","1","3","1"
"36-174 Venetie","2","0","1","0","4","1","0","0","30","2","0","2","1","0","1"
"37-700 Akutan","3","0","5","3","4","5","0","3","9","8","0","3","2","0","3"
"37-702 Aleknagik","2","0","2","2","6","1","0","0","21","9","0","5","3","0","0"
"37-704 Aleutians No. 1","2","0","0","0","2","3","0","1","6","6","0","0","0","0","0"
"37-706 Aleutians No. 2","28","0","43","12","58","67","0","10","110","69","0","18","15","1","2"
"37-707 Aniak","2","0","2","5","7","4","0","5","27","35","0","5","3","1","0"
"37-708 Chignik","0","0","0","0","0","0","0","0","6","4","0","0","0","0","0"
"37-709 Chuathbaluk","0","0","3","0","2","1","0","0","2","5","0","6","1","0","1"
"37-710 Clark's Point","0","0","2","0","0","1","0","1","2","2","0","3","0","1","0"
"37-712 Cold Bay","0","0","2","0","0","4","0","1","1","5","0","1","0","0","0"
"37-713 Crooked Creek","0","0","1","0","1","0","0","0","5","4","0","1","0","0","0"
"37-714 Dillingham","25","0","44","19","30","45","0","6","223","132","0","39","12","2","0"
"37-716 Egegik","0","0","0","0","1","1","0","0","3","0","0","0","0","0","0"
"37-718 Ekwok","1","0","2","1","5","3","0","0","10","6","0","5","1","0","0"
"37-719 Goodnews Bay","0","0","5","0","0","2","0","1","11","22","0","8","0","0","0"
"37-720 King Cove","15","0","12","2","23","25","0","2","18","9","1","1","2","2","0"
"37-722 King Salmon","4","0","14","1","11","22","0","2","25","14","0","7","1","0","0"
"37-724 Koliganek","3","0","1","2","6","2","0","1","23","12","0","3","3","0","1"
"37-726 Lake Iliamna No. 1","9","1","11","5","4","8","0","3","23","21","0","12","3","0","0"
