"1","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Blank","Overvote"
"House District 17","201","24","0","61","36","3","375","145","0","49","51","44","0","19","34","12","0","27","17","1","1","6","0","2","11","13","0","3","241","288","120","1","35","8","23","0","4","0","17","18","15","0","2055","581","466","0","75","394","585","0","106","2","58","60","53","0","110","15"
"House District 18","83","5","0","19","9","0","168","77","0","30","18","20","0","11","6","3","0","9","5","0","1","5","0","5","2","7","0","2","149","187","110","0","36","10","18","0","7","0","9","8","7","0","526","113","151","0","32","142","197","0","36","0","13","27","16","0","14","4"
"House District 19","93","13","0","17","13","0","206","79","0","35","22","21","0","20","6","2","0","9","11","0","5","6","0","2","2","8","0","3","204","219","89","0","51","8","20","0","10","1","17","33","7","0","1090","270","293","2","90","211","339","0","41","0","32","73","29","0","14","12"
"House District 2","354","27","0","41","16","0","338","134","0","61","69","40","1","28","26","10","0","15","15","0","9","9","0","3","12","14","0","7","906","588","180","0","75","31","48","0","15","2","36","39","17","0","2225","498","437","0","85","381","476","1","85","4","48","75","33","0","47","6"
"House District 20","253","28","0","36","31","0","436","148","0","49","43","53","0","22","18","6","0","8","6","0","3","8","0","1","6","14","0","1","265","365","109","1","54","10","41","0","7","2","5","26","17","0","1397","399","481","0","80","288","536","1","67","5","31","38","33","0","34","7"
"House District 21","308","40","0","90","39","2","759","236","0","70","62","58","0","38","21","10","0","37","14","0","2","12","0","9","6","15","0","3","387","589","213","1","67","10","40","0","6","0","22","28","13","1","1716","489","510","2","77","351","656","0","77","2","26","49","49","0","85","16"
"House District 22","140","13","0","28","18","1","365","121","0","37","38","36","0","23","10","2","0","10","4","0","4","14","0","7","7","14","0","7","300","300","117","1","47","17","29","0","15","0","27","34","16","1","906","228","278","0","71","198","309","1","52","2","17","47","27","1","19","5"
"House District 23","370","36","1","79","25","1","1189","344","1","108","123","60","1","49","32","12","0","41","26","0","16","16","0","5","8","16","0","3","561","1011","341","0","98","25","65","0","12","1","30","37","14","0","1346","542","485","0","106","342","541","0","55","1","45","60","33","0","17","6"
"House District 24","600","51","0","93","41","3","1266","381","1","87","114","98","0","45","21","12","0","26","20","0","1","19","0","1","12","14","0","7","524","944","317","0","117","25","78","0","9","0","27","40","10","0","1088","455","417","1","61","277","474","1","52","5","38","40","28","0","45","10"
"House District 25","495","48","0","157","41","1","1266","395","2","106","73","56","0","48","37","11","0","40","12","0","2","25","0","3","7","15","0","7","792","1136","376","3","96","35","58","0","12","2","25","36","29","0","1045","414","408","0","53","297","455","0","57","1","42","52","37","0","54","16"
"House District 26","325","25","0","74","24","2","1173","370","1","75","60","44","0","42","24","11","0","28","13","0","11","17","0","4","8","13","0","10","895","1348","416","1","111","49","87","0","34","2","39","39","32","0","660","228","240","0","53","178","241","1","44","1","32","46","36","0","32","14"
"House District 27","307","29","1","49","26","2","1053","328","1","77","47","26","0","29","25","9","0","23","13","0","24","24","0","7","0","8","0","0","850","1201","438","1","111","40","103","0","14","4","38","61","25","0","619","194","215","2","48","166","266","1","35","1","26","54","22","0","20","15"
"House District 28","462","51","0","106","47","3","1107","330","0","71","73","60","0","39","16","2","0","28","11","1","6","20","0","2","9","14","0","6","767","1076","382","1","116","34","90","1","12","2","26","34","22","0","732","277","324","1","55","192","283","1","44","2","31","37","16","0","60","16"
"House District 29","462","47","0","107","45","3","1294","401","0","91","77","43","0","32","42","16","1","53","19","0","8","25","0","5","8","14","0","5","901","1199","409","1","101","33","85","0","14","0","25","29","22","1","978","382","294","0","74","230","388","1","48","0","33","39","40","0","77","18"
"House District 3","343","43","0","61","36","0","549","205","0","95","120","68","0","43","27","3","0","33","18","0","7","12","0","4","10","20","0","3","490","657","206","1","71","16","29","0","4","2","43","40","7","0","2498","811","664","2","125","470","749","3","62","1","39","66","30","0","15","3"
"House District 30","315","37","0","85","18","4","1021","334","1","67","50","40","0","29","32","4","0","37","12","0","13","25","0","9","9","16","0","7","1216","1208","430","2","119","68","107","1","44","8","49","52","37","0","1041","344","302","0","44","291","383","0","60","1","35","35","23","0","48","22"
"House District 31","176","18","0","42","32","1","325","173","0","56","47","42","1","34","15","8","0","37","12","0","7","14","0","5","10","17","0","3","399","517","223","1","78","21","53","0","11","1","24","62","13","0","1140","290","357","2","102","273","470","2","43","1","37","81","26","0","17","11"
"House District 32","174","21","0","41","19","0","284","127","0","33","18","42","0","16","12","6","0","27","12","0","3","19","0","5","7","10","0","3","320","454","211","0","44","18","42","0","10","0","8","21","9","0","527","136","189","1","33","139","242","1","40","2","11","23","18","0","23","5"
"House District 33","245","35","0","115","33","3","710","331","0","62","38","37","0","24","34","21","0","63","13","0","9","52","0","7","9","17","0","3","741","1208","477","0","90","34","113","0","21","0","27","33","23","0","567","187","186","0","30","168","274","1","38","0","44","42","37","0","45","9"
"House District 34","264","33","0","101","38","0","680","292","0","69","52","54","0","35","22","18","0","74","24","0","15","43","0","14","15","33","0","14","650","949","412","1","104","55","84","0","21","6","25","38","21","0","1407","483","372","1","77","388","487","0","82","0","44","30","28","0","24","14"
"House District 35","215","29","0","65","33","0","521","269","0","70","71","62","0","36","17","17","0","36","23","0","11","19","0","2","15","22","0","12","406","751","327","0","70","36","63","1","9","1","36","51","12","0","1865","708","506","0","113","429","640","1","96","0","53","83","57","0","11","8"
"House District 36","491","42","1","102","37","1","640","293","0","46","40","52","1","18","28","11","0","42","14","0","8","23","0","6","13","17","0","3","837","841","289","1","69","53","92","0","12","2","22","31","14","0","1707","401","503","0","92","287","463","1","70","3","38","52","43","1","80","19"
"House District 37","198","14","1","51","16","4","150","90","0","26","22","27","0","21","13","2","0","14","6","1","3","14","1","0","5","9","0","5","266","177","112","2","30","5","20","0","3","1","15","32","18","0","1008","130","321","0","106","105","243","0","53","2","32","101","76","2","96","16"
"House District 38","70","6","0","12","9","1","56","40","1","28","11","21","0","15","6","2","0","5","1","0","0","4","0","3","2","1","0","5","105","64","46","0","21","0","7","1","7","1","10","33","17","1","1246","102","506","1","234","105","388","7","136","12","32","195","144","1","25","17"
"House District 39","102","6","0","16","6","1","51","44","1","32","10","39","0","25","6","1","0","6","7","0","0","4","0","4","2","9","0","4","179","65","56","1","50","4","17","0","4","1","9","61","10","0","1133","131","529","3","209","101","379","1","77","8","39","246","80","0","24","24"
"House District 4","263","21","0","39","31","2","327","144","1","42","71","55","0","30","16","5","0","13","15","0","2","13","0","4","6","11","0","0","294","235","130","0","36","9","19","0","5","1","15","16","8","0","2785","786","691","2","99","439","685","3","103","6","69","63","48","0","44","11"
"House District 40","129","5","0","12","16","0","49","29","0","16","9","37","0","15","16","2","0","2","3","0","3","6","0","3","1","3","0","0","162","68","54","0","43","2","23","1","3","0","4","17","13","0","754","74","301","0","61","61","226","1","64","4","10","72","58","0","40","4"
"House District 5","307","30","1","75","20","0","386","160","0","50","39","30","0","35","41","12","0","31","10","0","13","17","0","2","7","18","0","6","585","551","222","0","74","29","54","1","9","0","35","50","19","0","1330","412","358","0","52","268","375","0","52","0","29","57","36","1","91","9"
"House District 6","450","37","0","71","30","1","1290","298","0","64","56","43","0","42","42","20","0","40","14","0","21","16","0","7","21","13","0","7","1031","1041","305","0","56","47","75","2","23","7","42","31","26","0","2152","620","339","1","62","513","629","1","107","1","36","38","32","0","37","10"
"House District 7","439","29","0","71","32","3","973","240","1","108","64","38","1","25","22","9","0","38","22","0","12","13","0","2","13","7","0","3","990","1255","346","0","100","40","65","0","13","2","45","58","17","0","1003","303","271","1","62","199","303","0","55","5","29","61","27","0","17","11"
"House District 8","664","52","0","97","28","1","1296","355","0","77","56","61","0","21","36","22","0","24","18","0","8","29","0","2","8","13","0","5","1106","1503","408","2","91","58","118","0","17","0","28","31","23","0","999","293","330","1","50","260","362","0","41","0","38","29","15","0","103","14"
"House District 9","448","56","0","111","52","2","1497","394","0","134","148","84","0","55","27","18","0","29","20","0","2","13","0","10","6","19","0","2","428","839","270","0","62","23","40","0","4","0","16","19","12","0","2180","874","693","1","106","516","775","0","70","1","58","48","35","0","80","7"
"House District 99","1","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3","2","1","0","0","0","1","0","0","0","0","0","0","0","46","19","12","0","0","5","9","0","0","0","0","1","0","0","0","0"
"Total","12331","1189","5","2615","1161","50","27595","9143","12","2616","2469","2010","7","1301","902","374","1","1092","528","3","268","628","2","170","329","527","1","174","21415","27586","9695","28","2892","996","2105","10","477","60","967","1417","671","5","54555","16509","16270","28","3385","11340","18290","38","2685","86","1506","2484","1569","8","1779","438"
