"1","Begich","Peltola","Blank","Exhausted","Overvote"
"06-230 Homer No. 1","272","377","5","81","1"
"06-240 Homer No. 2","286","308","1","63","0"
"06-250 Kachemak-Fritz Creek","304","436","4","46","0"
"06-260 Kasilof","638","327","6","198","4"
"06-270 Ninilchik","285","182","5","104","4"
"06-280 Seldovia-Kachemak Bay","56","92","0","22","0"
"07-005 Central","438","226","1","142","2"
"07-010 K Beach","633","259","4","152","1"
"07-015 Kenai No. 1","465","288","1","118","1"
"07-020 Kenai No. 2","269","159","1","72","0"
"07-025 Kenai No. 3","241","132","0","55","0"
"07-030 Soldotna","492","320","4","129","3"
"08-035 Bear Creek","281","275","10","70","0"
"08-040 Cooper Landing","59","72","1","9","0"
"08-045 Funny River No. 1","223","101","6","65","1"
"08-050 Funny River No. 2","231","95","6","53","0"
"08-055 Hope","12","44","0","8","0"
"08-060 Mackey Lake","398","171","6","95","0"
"08-065 Moose Pass","49","73","0","16","0"
"08-070 Nikiski","551","152","17","128","2"
"08-075 Salamatof","604","165","14","116","1"
"08-080 Sterling No. 1","473","171","9","117","1"
"08-085 Sterling No. 2","551","171","6","150","0"
"09-105 Girdwood","121","569","5","19","0"
"09-110 Indian","42","69","3","9","0"
"09-115 South Anchorage No. 1","530","506","9","58","0"
"09-120 South Anchorage No. 2","668","462","6","56","1"
"09-125 South Anchorage No. 3","534","478","9","54","0"
"09-130 South Anchorage No. 4","579","518","4","35","0"
"09-135 South Anchorage No. 5","225","228","3","27","0"
"09-140 Stuckagain Heights","59","84","2","7","0"
"09-145 Whittier","37","37","2","18","0"
"10-150 Dimond","230","335","4","67","1"
"10-155 Oceanview No. 1","400","452","4","70","1"
"10-160 Oceanview No. 2","310","335","6","49","3"
"10-165 Oceanview No. 3","386","429","3","86","3"
"10-170 Oceanview No. 4","383","370","2","46","0"
"10-175 Oceanview No. 5","255","303","5","57","0"
"11-205 Hillside No. 1","194","253","1","52","0"
"11-210 Hillside No. 2","457","501","1","72","2"
"11-215 Hillside No. 3","313","262","0","39","1"
"11-220 Hillside No. 4","334","274","1","50","0"
"11-225 Hillside No. 5","317","330","2","44","1"
"11-230 Hillside No. 6","410","406","0","40","0"
"11-235 Hillside No. 7","271","284","0","38","0"
"12-250 Southeast Anchorage No. 1","300","381","7","46","1"
"12-255 Southeast Anchorage No. 2","228","231","1","34","0"
"12-260 Southeast Anchorage No. 3","261","361","7","46","0"
"12-265 Southeast Anchorage No. 4","298","371","2","42","2"
"12-270 Southeast Anchorage No. 5","354","458","6","70","1"
"12-275 Southeast Anchorage No. 6","316","471","1","35","1"
"13-305 South Midtown No. 1","81","95","1","11","0"
"13-310 South Midtown No. 2","417","446","5","69","1"
"13-315 South Midtown No. 3","422","481","7","73","2"
"13-320 South Midtown No. 4","303","401","11","75","1"
"13-325 South Midtown No. 5","297","477","16","48","1"
"14-350 North Midtown No. 1","78","187","2","25","1"
"14-355 North Midtown No. 2","107","229","0","28","1"
"14-360 North Midtown No. 3","96","166","1","29","0"
"14-365 North Midtown No. 4","87","254","1","40","1"
"14-370 North Midtown No. 5","223","425","9","69","2"
"14-375 North Midtown No. 6","150","277","4","29","0"
"14-380 North Midtown No. 7","264","598","0","36","2"
"15-405 Southwest Anchorage No. 1","283","285","0","27","1"
"15-410 Southwest Anchorage No. 2","333","342","0","51","0"
"15-415 Southwest Anchorage No. 3","398","450","2","59","2"
"15-420 Southwest Anchorage No. 4","237","359","4","55","0"
"15-425 Southwest Anchorage No. 5","313","416","0","41","0"
"15-430 Southwest Anchorage No. 6","517","569","1","58","0"
"16-450 West Anchorage No. 1","161","476","1","18","0"
"16-455 West Anchorage No. 2","216","428","5","38","0"
"16-460 West Anchorage No. 3","319","591","4","55","2"
"16-465 West Anchorage No. 4","193","249","4","36","3"
"16-470 West Anchorage No. 5","371","430","7","55","1"
"16-475 West Anchorage No. 6","318","381","2","28","2"
"16-480 West Anchorage No. 7","186","318","4","29","0"
"17-505 Downtown Anchorage No. 1","111","231","11","19","0"
"17-510 Downtown Anchorage No. 2","123","389","3","22","1"
"17-515 Downtown Anchorage No. 3","112","236","2","13","0"
"17-520 Downtown Anchorage No. 4","171","407","9","26","2"
"17-525 Downtown Anchorage No. 5","126","274","5","17","1"
"17-530 Downtown Anchorage No. 6","62","203","6","26","0"
"17-535 Downtown Anchorage No. 7","110","248","10","26","2"
"18-550 Government Hill","94","220","4","25","0"
"18-555 JBER","241","206","1","35","0"
"18-560 North Muldoon","89","185","1","20","1"
"18-565 Ship Creek","21","60","1","5","0"
"19-605 Airport Heights No. 1","154","531","3","42","3"
"19-610 Airport Heights No. 2","196","373","2","45","0"
"19-615 Mountainview No. 1","78","200","3","22","1"
"19-620 Mountainview No. 2","83","140","0","23","1"
"19-625 South Mountainview","136","204","2","26","1"
"20-650 University No. 1","70","130","1","12","2"
"20-655 University No. 2","230","415","4","53","0"
"20-660 University No. 3","266","489","5","43","1"
"20-665 University No. 4","117","227","2","18","1"
"20-670 University No. 5","473","678","9","72","1"
"21-705 East Anchorage No. 1","278","416","7","43","5"
"21-710 East Anchorage No. 2","364","358","7","57","0"
"21-715 East Anchorage No. 3","420","514","12","69","3"
"21-720 East Anchorage No. 4","343","438","11","47","2"
"21-725 East Anchorage No. 5","484","593","13","60","1"
"22-750 Northeast Anchorage No. 1","244","375","5","80","0"
"22-755 Northeast Anchorage No. 2","245","338","3","62","1"
"22-760 Northeast Anchorage No. 3","292","438","4","66","1"
"22-765 Northeast Anchorage No. 4","170","266","1","37","0"
"23-805 Chugach Park No. 1","632","529","1","84","1"
"23-810 Eagle River No. 1","414","283","1","78","0"
"23-815 Eagle River No. 2","358","311","5","58","0"
"23-820 Hiland","398","250","1","49","0"
"23-825 Meadow Creek No. 1","416","369","0","83","1"
"23-830 Meadow Creek No. 2","294","178","1","45","0"
"24-850 Chugach Park No. 2","474","275","6","59","2"
"24-855 Chugiak","194","143","0","33","0"
"24-860 Eagle River No. 3","314","238","5","54","0"
"24-865 Eklutna","434","277","5","54","1"
"24-870 Fire Lake","478","292","4","62","0"
"24-875 Peters Creek No. 1","714","304","3","65","1"
"24-880 Peters Creek No. 2","342","187","2","61","1"
"25-305 Butte","769","312","4","131","2"
"25-310 Greater Palmer","333","182","2","66","0"
"25-315 Lazy Mountain","456","244","5","71","1"
"25-320 Palmer City No. 1","292","262","6","62","0"
"25-325 Palmer City No. 2","272","177","5","50","2"
"25-330 Springer Loop","417","249","1","84","0"
"25-335 Walby","458","181","4","79","2"
"26-350 Fairview No. 1","357","91","1","67","0"
"26-355 Fairview No. 2","211","111","1","42","1"
"26-360 Knik Goose Bay No. 1","611","253","3","171","2"
"26-365 Knik Goose Bay No. 2","429","157","2","93","0"
"26-370 Knik Goose Bay No. 3","249","99","2","62","1"
"26-375 Mat-Su Campus","379","196","1","67","0"
"26-380 Snowshoe","634","219","8","124","2"
"27-405 Foothills","413","151","2","75","0"
"27-410 Meadow Lakes No. 1","591","218","5","157","3"
"27-415 Meadow Lakes No. 2","475","155","2","122","1"
"27-420 Wasilla No. 1","423","195","4","95","1"
"27-425 Wasilla No. 2","616","228","3","135","3"
"28-450 Lakes No. 1","337","150","6","62","0"
"28-455 Lakes No. 2","260","112","2","64","0"
"28-460 Seldon No. 1","500","160","7","100","3"
"28-465 Seldon No. 2","586","312","11","114","5"
"28-470 Seward Meridian","255","110","4","55","0"
"28-475 Trunk","458","215","4","77","2"
"28-480 Wasilla Lake","218","102","7","57","0"
"29-505 Farm Loop","653","224","7","116","6"
"29-510 Fishhook","800","342","11","149","1"
"29-515 Kings Lake","552","208","6","124","0"
"29-520 Lakes No. 3","241","95","2","41","0"
"29-525 Sheep Mountain","87","28","2","11","0"
"29-530 Sutton","241","145","4","78","0"
"29-535 Valdez No. 1","161","202","2","51","1"
"29-540 Valdez No. 2","96","98","2","36","0"
"29-545 Valdez No. 3","150","138","10","55","0"
"30-550 Anderson/Clear","61","32","2","27","0"
"30-555 Big Lake","656","260","5","196","5"
"30-560 Cantwell","29","46","0","12","0"
"30-565 Denali Park","12","66","0","1","0"
"30-570 East Schrock","55","24","1","16","0"
"30-575 Healy","159","136","2","37","0"
"30-580 Houston","295","147","8","114","1"
"30-585 Knik Goose Bay No. 4","604","210","2","154","4"
"30-590 Trapper Creek","79","39","0","43","0"
"30-595 Susitna","236","142","4","92","1"
"30-600 Talkeetna","80","196","2","42","0"
"30-605 Willow","467","283","6","182","3"
"31-446 Aurora","353","418","3","81","0"
"31-455 Fairbanks No. 1","344","481","4","82","1"
"31-480 Fairbanks No. 2","355","447","6","65","1"
"31-485 Fairbanks No. 3","271","392","1","63","4"
"32-355 Fairbanks No. 4","281","325","6","55","1"
"32-365 Fairbanks No. 5","234","256","4","58","0"
"32-375 Fort Wainwright","76","52","0","4","0"
"32-385 Badger No. 2","550","312","7","132","0"
"33-130 Badger No. 1","541","282","5","140","1"
"33-135 Chena Lakes","587","202","6","155","2"
"33-155 Moose Creek","61","28","3","24","0"
"33-165 Newby","710","278","6","144","2"
"33-175 North Pole","323","138","3","69","1"
"33-183 Plack","642","211","5","98","0"
"34-235 Eielson","110","52","2","18","0"
"34-238 Eielson Farm Road","33","22","0","3","0"
"34-240 Farmers Loop","279","531","3","66","0"
"34-260 Salcha","226","111","0","93","0"
"34-263 Steele Creek","522","387","6","89","2"
"34-265 Steese","522","400","1","114","1"
"34-270 Summit","403","331","3","79","1"
"34-280 Two Rivers","235","180","3","55","1"
"35-580 Airport","141","115","1","35","0"
"35-582 Chena","581","670","2","68","1"
"35-584 Ester","190","359","0","28","1"
"35-586 Geist","208","294","2","33","0"
"35-587 Lakeview","47","42","0","27","0"
"35-592 Shanly","109","241","0","34","1"
"35-595 University Hills","167","409","0","12","0"
"35-596 University West","464","646","1","99","1"
"36-001 Goldstream No. 1","241","354","6","34","0"
"36-002 Goldstream No. 2","188","479","2","29","1"
"36-010 Allakaket","3","52","0","1","0"
"36-014 Anvik","2","23","1","1","0"
"36-018 Arctic Village","2","30","0","0","0"
"36-022 Beaver","3","20","0","1","0"
"36-026 Bettles","8","8","0","0","0"
"36-034 Central","17","9","1","14","0"
"36-038 Chistochina","24","25","0","21","0"
"36-042 Circle","4","15","1","2","0"
"36-046 Copper Center","132","107","5","34","0"
"36-050 Delta Junction","196","41","5","59","0"
"36-054 Deltana","695","172","16","162","4"
"36-058 Dot Lake","22","4","0","15","0"
"36-062 Eagle","19","11","0","14","1"
"36-066 Fort Yukon","13","111","2","3","0"
"36-070 Gakona","37","34","0","8","0"
"36-074 Galena","23","102","0","7","0"
"36-078 Glennallen","79","40","2","27","0"
"36-082 Grayling","7","32","1","9","1"
"36-086 Holy Cross","3","26","0","1","1"
"36-090 Hughes","4","24","2","2","0"
"36-094 Huslia","11","65","0","2","0"
"36-098 Kaltag","2","45","0","0","0"
"36-102 Kenny Lake","75","51","2","25","0"
"36-106 Koyukuk","1","29","1","2","0"
"36-110 Manley","15","11","0","18","1"
"36-114 McGrath","37","34","1","10","0"
"36-118 Mentasta","3","24","0","4","0"
"36-122 Minto","6","34","0","4","1"
"36-126 Nenana","123","111","4","33","0"
"36-130 Nikolai","7","29","0","3","0"
"36-134 Northway","10","56","3","7","0"
"36-138 Nulato","7","59","0","0","1"
"36-142 Ruby","6","27","0","2","0"
"36-146 Shageluk","1","21","0","0","0"
"36-162 Tanana","2","60","0","1","0"
"36-166 Tetlin","3","21","0","0","0"
"36-170 Tok","221","133","1","116","1"
"36-174 Venetie","4","34","1","4","1"
"37-700 Akutan","16","23","2","4","3"
"37-702 Aleknagik","7","35","3","6","0"
"37-704 Aleutians No. 1","5","13","0","2","0"
"37-706 Aleutians No. 2","150","207","15","59","2"
"37-707 Aniak","13","72","3","8","0"
"37-708 Chignik","0","10","0","0","0"
"37-709 Chuathbaluk","4","13","1","2","1"
"37-710 Clark's Point","3","8","0","1","0"
"37-712 Cold Bay","6","8","0","0","0"
"37-713 Crooked Creek","1","10","0","1","0"
"37-714 Dillingham","133","400","12","32","0"
"37-716 Egegik","1","3","0","1","0"
"37-718 Ekwok","7","21","1","5","0"
"37-719 Goodnews Bay","7","42","0","0","0"
"37-720 King Cove","54","31","2","25","0"
"37-722 King Salmon","41","48","1","11","0"
"37-724 Koliganek","8","39","3","6","1"
"37-726 Lake Iliamna No. 1","34","59","3","4","0"
"37-728 Lake Iliamna No. 2","10","44","2","4","0"
"37-730 Levelock","0","9","0","0","0"
"37-731 Lower Kalskag","10","39","1","0","1"
"37-732 Manokotak","19","57","2","2","0"
"37-734 Naknek","44","68","4","16","0"
"37-736 New Stuyahok","11","130","6","0","1"
"37-738 Nondalton","9","27","1","2","1"
"37-740 Pedro Bay","5","3","0","0","0"
"37-742 Port Heiden","6","15","0","2","0"
"37-744 Sand Point","67","14","3","12","1"
"37-746 Sleetmute","3","21","2","0","0"
"37-748 South Naknek","1","15","1","1","1"
"37-752 St. Paul Island","7","80","4","5","1"
"37-754 Togiak","20","103","1","4","0"
"37-756 Tyonek","1","23","1","0","0"
"37-758 Upper Kalskag","3","37","6","3","0"
"38-800 Akiachak","8","118","2","3","0"
"38-802 Akiak","8","103","2","6","0"
"38-806 Atmautluak","6","40","0","0","0"
"38-808 Bethel No. 1","78","408","2","20","0"
"38-810 Bethel No. 2","114","437","1","26","0"
"38-812 Chefornak","6","84","2","2","0"
"38-813 Chevak","13","120","3","7","1"
"38-818 Eek","7","73","0","0","0"
"38-822 Kasigluk","1","71","0","1","0"
"38-824 Kipnuk","8","111","2","2","3"
"38-826 Kongiganak","7","77","0","0","2"
"38-828 Kwethluk","3","153","0","1","1"
"38-830 Kwigillingok","7","44","0","5","0"
"38-836 Mekoryuk","7","55","0","2","0"
"38-838 Napakiak","5","68","1","2","1"
"38-840 Napaskiak","4","91","0","4","0"
"38-842 Newtok","5","21","1","2","0"
"38-844 Nightmute","3","37","2","1","0"
"38-846 Nunapitchuk","5","102","1","4","1"
"38-848 Quinhagak","12","109","2","7","0"
"38-852 Toksook Bay","12","139","0","1","1"
"38-854 Tuluksak","3","56","1","0","0"
"38-856 Tuntutuliak","6","118","2","2","3"
"38-858 Tununak","2","79","0","0","1"
"39-900 Alakanuk","18","74","2","4","1"
"39-902 Brevig Mission","7","101","0","15","2"
"39-906 Diomede","2","9","0","0","1"
"39-908 Elim","15","57","0","5","0"
"39-910 Emmonak","10","118","1","7","2"
"39-912 Gambell","27","93","6","14","2"
"39-914 Golovin","9","30","0","3","0"
"39-916 Hooper Bay","13","137","2","8","1"
"39-918 Kotlik","4","82","0","1","1"
"39-920 Koyuk","17","56","1","5","1"
"39-921 Marshall","9","85","1","2","0"
"39-922 Mountain Village","12","99","1","2","1"
"39-924 Nome No. 1","59","242","1","16","0"
"39-926 Nome No. 2","97","369","2","37","1"
"39-928 Nunam Iqua","4","26","0","0","0"
"39-930 Pilot Station","7","73","0","3","1"
"39-931 Russian Mission","2","69","1","2","1"
"39-932 Savoonga","21","121","1","2","0"
"39-934 Scammon Bay","3","106","0","0","3"
"39-936 Shaktoolik","9","46","0","1","0"
"39-938 Shishmaref","12","161","3","7","0"
"39-940 St. Mary's","9","103","1","7","1"
"39-942 St. Michael","9","60","0","4","0"
"39-944 Stebbins","11","70","0","0","2"
"39-946 Teller","2","35","0","0","0"
"39-948 Unalakleet","24","172","0","9","1"
"39-950 Wales","4","16","0","0","0"
"39-952 White Mountain","10","48","0","2","1"
"40-004 Anaktuvuk Pass","10","39","1","3","1"
"40-006 Atqasuk","5","23","0","3","0"
"40-008 Utqiagvik","35","150","5","15","0"
"40-010 Browerville","111","360","7","41","1"
"40-012 Buckland","14","52","3","9","0"
"40-014 Deering","9","21","0","2","0"
"40-016 Kaktovik","18","47","0","10","0"
"40-020 Kivalina","12","43","5","7","0"
"40-024 Kotzebue","94","386","7","28","0"
"40-026 Noatak","25","66","1","9","1"
"40-030 Nuiqsut","5","37","1","3","0"
"40-032 Point Hope","32","54","0","4","0"
"40-034 Point Lay","8","16","0","5","0"
"40-036 Selawik","17","53","0","10","1"
"40-038 Shungnak","9","54","0","3","0"
"40-040 Wainwright","33","62","1","5","0"
"District 1 - Absentee","615","880","21","226","6"
"District 1 - Early Voting","4","8","1","1","0"
"District 1  - Question","115","134","4","31","0"
"District 10 - Absentee","496","992","3","119","2"
"District 10 - Early Voting","289","465","5","61","2"
"District 10  - Question","44","72","1","6","1"
"District 11 - Absentee","656","1231","2","96","1"
"District 11 - Early Voting","441","608","1","27","1"
"District 11  - Question","65","97","2","12","0"
"District 12 - Absentee","366","1013","7","55","1"
"District 12 - Early Voting","277","533","4","38","1"
"District 12  - Question","41","95","1","9","1"
"District 13 - Absentee","302","789","14","81","3"
"District 13 - Early Voting","271","407","8","42","2"
"District 13  - Question","60","59","1","8","2"
"District 14 - Absentee","268","1090","4","52","2"
"District 14 - Early Voting","274","715","6","52","2"
"District 14  - Question","81","150","6","31","1"
"District 15 - Absentee","522","1136","5","91","0"
"District 15 - Early Voting","380","531","1","43","1"
"District 15  - Question","70","102","1","23","0"
"District 16 - Absentee","410","1336","7","56","1"
"District 16 - Early Voting","305","811","4","32","1"
"District 16  - Question","68","94","2","10","0"
"District 17 - Absentee","322","1260","31","61","3"
"District 17 - Early Voting","340","1123","25","58","5"
"District 17  - Question","60","147","8","16","2"
"District 18 - Absentee","265","395","6","58","1"
"District 18 - Early Voting","75","198","1","14","1"
"District 18  - Question","28","36","0","9","1"
"District 19 - Absentee","155","648","1","31","5"
"District 19 - Early Voting","76","349","1","18","1"
"District 19  - Question","48","107","2","16","1"
"District 2 - Absentee","643","1697","13","353","4"
"District 2 - Early Voting","12","32","0","6","1"
"District 2  - Question","40","78","1","20","0"
"District 20 - Absentee","283","894","9","64","2"
"District 20 - Early Voting","192","463","3","27","1"
"District 20  - Question","66","137","1","7","1"
"District 21 - Absentee","459","1185","20","97","4"
"District 21 - Early Voting","287","530","10","37","0"
"District 21  - Question","50","73","5","10","1"
"District 22 - Absentee","216","510","1","55","0"
"District 22 - Early Voting","150","266","2","26","0"
"District 22  - Question","27","72","3","5","3"
"District 23 - Absentee","766","1057","4","141","1"
"District 23 - Early Voting","651","644","4","81","2"
"District 23  - Question","68","60","0","15","2"
"District 24 - Absentee","612","713","12","97","2"
"District 24 - Early Voting","646","539","6","69","2"
"District 24  - Question","105","89","2","17","1"
"District 25 - Absentee","449","547","7","143","3"
"District 25 - Early Voting","849","756","17","152","5"
"District 25  - Question","150","85","3","28","3"
"District 26 - Absentee","426","347","7","131","4"
"District 26 - Early Voting","837","397","3","178","3"
"District 26  - Question","114","69","4","44","3"
"District 27 - Absentee","399","340","1","116","1"
"District 27 - Early Voting","844","464","1","200","5"
"District 27  - Question","137","51","2","39","5"
"District 28 - Absentee","406","403","2","110","6"
"District 28 - Early Voting","899","497","14","159","2"
"District 28  - Question","156","59","3","25","2"
"District 29 - Absentee","593","602","15","150","4"
"District 29 - Early Voting","832","468","7","146","3"
"District 29  - Question","105","80","9","27","3"
"District 3 - Absentee","414","1284","3","87","2"
"District 3 - Early Voting","548","1434","2","88","0"
"District 3  - Question","73","133","2","11","0"
"District 30 - Early Voting - 1","348","229","3","98","4"
"District 30 - Early Voting - 2","3","20","0","2","0"
"District 30 - Question - 1","93","52","3","35","5"
"District 30 - Question - 2","29","15","0","5","0"
"District 31 - Absentee","235","492","1","74","1"
"District 31 - Early Voting","286","662","1","69","3"
"District 31  - Question","46","77","1","8","2"
"District 32 - Absentee","211","225","3","47","2"
"District 32 - Early Voting","179","231","1","41","1"
"District 32  - Question","59","34","2","16","1"
"District 33 - Absentee","364","287","6","105","2"
"District 33 - Early Voting","347","248","7","61","1"
"District 33  - Question","95","40","4","22","0"
"District 34 - Absentee","418","676","1","98","7"
"District 34 - Early Voting","475","803","3","103","4"
"District 34  - Question","104","87","2","24","4"
"District 35 - Absentee","306","773","1","66","2"
"District 35 - Early Voting","391","1059","3","54","3"
"District 35  - Question","73","102","1","14","1"
"District 36 - Early Voting - 1","19","28","0","3","0"
"District 36 - Early Voting - 2","110","303","2","29","0"
"District 36 - Question - 1","26","27","1","7","1"
"District 36 - Question - 2","68","105","4","18","2"
"District 37 - Early Voting - 1 ","22","41","0","9","1"
"District 37  - Question - 1","28","43","1","8","0"
"District 37  - Question - 2","1","8","0","0","0"
"District 38 - Absentee","55","292","0","8","1"
"District 38 - Early Voting","7","47","0","0","0"
"District 38  - Question","28","135","1","5","4"
"District 39 - Early Voting - 1","47","148","0","12","1"
"District 39 - Early Voting - 2","1","16","0","0","0"
"District 39  - Question - 1","9","45","1","6","1"
"District 39  - Question - 2","11","16","0","0","0"
"District 4 - Absentee","215","1121","7","47","4"
"District 4 - Early Voting","416","1860","9","80","1"
"District 4  - Question","54","236","1","12","0"
"District 40 - Absentee","38","174","5","19","1"
"District 40 - Early Voting","12","23","2","1","0"
"District 40  - Question","31","70","2","6","0"
"District 5 - Absentee","590","1108","29","185","5"
"District 5 - Early Voting","14","22","1","0","0"
"District 5  - Question","64","77","5","19","1"
"District 6 - Absentee","604","1155","7","240","1"
"District 6 - Early Voting","542","1192","1","135","6"
"District 6  - Question","82","78","3","23","2"
"District 7 - Absentee","857","712","4","260","4"
"District 7 - Early Voting","425","328","2","113","2"
"District 7  - Question","52","53","0","23","0"
"District 8 - Absentee","926","753","20","261","6"
"District 8 - Early Voting","506","285","6","103","2"
"District 8  - Question","59","17","2","17","1"
"District 9 - Absentee","831","1589","25","124","2"
"District 9 - Early Voting","568","808","9","57","3"
"District 9  - Question","78","97","3","16","1"
"HD99 Fed Overseas Absentee","9","92","0","3","0"
"House District 30 - Judicial District 3","661","695","7","244","7"
"House District 30 - Judicial District 4","78","190","3","29","1"
"House District 36 - Judicial District 3","196","199","4","60","1"
"House District 36 - Judicial District 4","471","554","12","134","4"
"House District 37 - Judicial District 3","231","432","15","51","5"
"House District 37 - Judicial District 4","9","15","0","1","0"
"House District 39 - Judicial District 2","41","118","0","15","0"
"House District 39 - Judicial District 4","5","38","0","0","0"
"Total","107433","133491","1779","23581","513"
