"1","Murkowski","Tshibaka","Blank","Exhausted","Overvote"
"05-865 Seward-Lowell Point","320","206","13","19","1"
"05-870 Tatitlek","15","0","0","2","0"
"06-200 Anchor Point","224","629","6","36","2"
"06-210 Diamond Ridge","242","219","1","24","0"
"06-220 Fox River","101","168","1","16","0"
"06-230 Homer No. 1","370","334","9","23","0"
"06-240 Homer No. 2","309","328","5","16","0"
"06-250 Kachemak-Fritz Creek","436","325","8","21","0"
"06-260 Kasilof","331","788","7","45","2"
"06-270 Ninilchik","158","408","3","10","1"
"06-280 Seldovia-Kachemak Bay","96","63","3","8","0"
"07-005 Central","227","554","3","24","1"
"07-010 K Beach","269","747","5","28","0"
"07-015 Kenai No. 1","295","546","4","26","2"
"07-020 Kenai No. 2","151","337","3","10","0"
"07-025 Kenai No. 3","142","280","1","5","0"
"07-030 Soldotna","346","578","9","14","1"
"08-035 Bear Creek","256","353","11","16","0"
"08-040 Cooper Landing","73","63","2","3","0"
"08-045 Funny River No. 1","90","288","6","11","1"
"08-050 Funny River No. 2","98","273","4","9","1"
"08-055 Hope","42","19","0","3","0"
"08-060 Mackey Lake","157","490","6","17","0"
"08-065 Moose Pass","66","63","2","7","0"
"08-070 Nikiski","143","675","11","18","3"
"08-075 Salamatof","181","689","6","22","2"
"08-080 Sterling No. 1","180","567","8","16","0"
"08-085 Sterling No. 2","153","704","9","12","0"
"09-105 Girdwood","568","120","3","22","1"
"09-110 Indian","74","41","4","4","0"
"09-115 South Anchorage No. 1","564","500","15","23","1"
"09-120 South Anchorage No. 2","566","602","10","15","0"
"09-125 South Anchorage No. 3","534","500","20","20","1"
"09-130 South Anchorage No. 4","605","508","5","17","1"
"09-135 South Anchorage No. 5","247","218","7","11","0"
"09-140 Stuckagain Heights","88","58","1","4","1"
"09-145 Whittier","60","29","1","4","0"
"10-150 Dimond","323","275","8","30","1"
"10-155 Oceanview No. 1","515","388","5","17","2"
"10-160 Oceanview No. 2","375","314","1","11","2"
"10-165 Oceanview No. 3","455","421","7","22","2"
"10-170 Oceanview No. 4","413","367","5","16","0"
"10-175 Oceanview No. 5","311","286","7","15","1"
"11-205 Hillside No. 1","245","242","0","13","0"
"11-210 Hillside No. 2","542","468","2","19","2"
"11-215 Hillside No. 3","302","310","0","3","0"
"11-220 Hillside No. 4","297","349","1","12","0"
"11-225 Hillside No. 5","365","315","4","10","0"
"11-230 Hillside No. 6","447","399","1","9","0"
"11-235 Hillside No. 7","306","281","0","5","1"
"12-250 Southeast Anchorage No. 1","351","341","9","34","0"
"12-255 Southeast Anchorage No. 2","232","240","8","14","0"
"12-260 Southeast Anchorage No. 3","335","301","16","23","0"
"12-265 Southeast Anchorage No. 4","367","308","12","24","4"
"12-270 Southeast Anchorage No. 5","449","394","10","35","1"
"12-275 Southeast Anchorage No. 6","482","316","10","15","1"
"13-305 South Midtown No. 1","99","75","5","9","0"
"13-310 South Midtown No. 2","484","392","25","33","4"
"13-315 South Midtown No. 3","519","395","23","45","3"
"13-320 South Midtown No. 4","413","317","23","38","0"
"13-325 South Midtown No. 5","501","285","13","39","1"
"14-350 North Midtown No. 1","183","94","0","15","1"
"14-355 North Midtown No. 2","223","117","2","22","1"
"14-360 North Midtown No. 3","188","94","0","10","0"
"14-365 North Midtown No. 4","235","114","1","33","0"
"14-370 North Midtown No. 5","422","277","5","21","3"
"14-375 North Midtown No. 6","277","165","1","14","3"
"14-380 North Midtown No. 7","639","240","2","18","1"
"15-405 Southwest Anchorage No. 1","322","266","1","7","0"
"15-410 Southwest Anchorage No. 2","368","333","6","18","1"
"15-415 Southwest Anchorage No. 3","451","432","1","25","2"
"15-420 Southwest Anchorage No. 4","358","272","3","22","0"
"15-425 Southwest Anchorage No. 5","443","310","5","11","1"
"15-430 Southwest Anchorage No. 6","607","518","5","15","0"
"16-450 West Anchorage No. 1","471","152","16","17","0"
"16-455 West Anchorage No. 2","420","230","17","20","0"
"16-460 West Anchorage No. 3","559","357","14","39","2"
"16-465 West Anchorage No. 4","260","207","4","13","1"
"16-470 West Anchorage No. 5","434","384","17","28","1"
"16-475 West Anchorage No. 6","360","337","8","24","2"
"16-480 West Anchorage No. 7","294","208","7","28","0"
"17-505 Downtown Anchorage No. 1","255","96","7","14","0"
"17-510 Downtown Anchorage No. 2","400","115","7","14","2"
"17-515 Downtown Anchorage No. 3","269","86","4","3","1"
"17-520 Downtown Anchorage No. 4","420","159","8","27","1"
"17-525 Downtown Anchorage No. 5","283","110","12","18","0"
"17-530 Downtown Anchorage No. 6","183","76","8","30","0"
"17-535 Downtown Anchorage No. 7","240","117","9","29","1"
"18-550 Government Hill","212","106","3","22","0"
"18-555 JBER","200","250","2","30","1"
"18-560 North Muldoon","162","112","5","16","1"
"18-565 Ship Creek","55","27","0","5","0"
"19-605 Airport Heights No. 1","539","166","4","23","1"
"19-610 Airport Heights No. 2","370","216","6","21","3"
"19-615 Mountainview No. 1","198","86","2","18","0"
"19-620 Mountainview No. 2","131","105","0","11","0"
"19-625 South Mountainview","215","142","1","8","3"
"20-650 University No. 1","120","77","4","10","4"
"20-655 University No. 2","363","277","15","44","3"
"20-660 University No. 3","454","310","17","20","3"
"20-665 University No. 4","215","126","2","22","0"
"20-670 University No. 5","631","521","29","47","5"
"21-705 East Anchorage No. 1","432","267","21","28","1"
"21-710 East Anchorage No. 2","382","360","19","21","4"
"21-715 East Anchorage No. 3","540","409","16","47","6"
"21-720 East Anchorage No. 4","458","333","11","38","1"
"21-725 East Anchorage No. 5","635","448","18","48","2"
"22-750 Northeast Anchorage No. 1","366","299","10","26","3"
"22-755 Northeast Anchorage No. 2","321","288","5","34","1"
"22-760 Northeast Anchorage No. 3","440","323","4","34","0"
"22-765 Northeast Anchorage No. 4","253","201","2","18","0"
"23-805 Chugach Park No. 1","571","647","4","25","0"
"23-810 Eagle River No. 1","320","437","7","12","0"
"23-815 Eagle River No. 2","333","381","3","14","1"
"23-820 Hiland","300","381","6","11","0"
"23-825 Meadow Creek No. 1","381","467","1","18","2"
"23-830 Meadow Creek No. 2","194","313","2","8","1"
"24-850 Chugach Park No. 2","295","489","11","19","2"
"24-855 Chugiak","133","223","4","10","0"
"24-860 Eagle River No. 3","208","366","6","30","1"
"24-865 Eklutna","270","477","9","14","1"
"24-870 Fire Lake","298","505","8","23","2"
"24-875 Peters Creek No. 1","318","746","5","16","2"
"24-880 Peters Creek No. 2","185","380","9","18","1"
"25-305 Butte","351","765","41","54","7"
"25-310 Greater Palmer","204","350","11","18","0"
"25-315 Lazy Mountain","262","460","27","28","0"
"25-320 Palmer City No. 1","262","315","14","28","3"
"25-325 Palmer City No. 2","185","277","17","26","1"
"25-330 Springer Loop","266","451","10","24","0"
"25-335 Walby","210","466","23","23","2"
"26-350 Fairview No. 1","102","405","0","9","0"
"26-355 Fairview No. 2","117","232","4","12","1"
"26-360 Knik Goose Bay No. 1","240","757","5","33","5"
"26-365 Knik Goose Bay No. 2","159","491","4","27","0"
"26-370 Knik Goose Bay No. 3","87","310","3","10","3"
"26-375 Mat-Su Campus","198","427","5","13","0"
"26-380 Snowshoe","230","717","4","34","2"
"27-405 Foothills","128","486","9","18","0"
"27-410 Meadow Lakes No. 1","194","757","2","19","2"
"27-415 Meadow Lakes No. 2","158","583","2","11","1"
"27-420 Wasilla No. 1","191","498","9","20","0"
"27-425 Wasilla No. 2","229","726","3","25","2"
"28-450 Lakes No. 1","141","393","3","17","1"
"28-455 Lakes No. 2","114","305","6","13","0"
"28-460 Seldon No. 1","158","587","4","21","0"
"28-465 Seldon No. 2","289","695","13","30","1"
"28-470 Seward Meridian","106","304","4","10","0"
"28-475 Trunk","203","518","8","24","3"
"28-480 Wasilla Lake","92","272","6","14","0"
"29-505 Farm Loop","268","655","43","37","3"
"29-510 Fishhook","371","861","31","38","2"
"29-515 Kings Lake","216","618","24","28","4"
"29-520 Lakes No. 3","102","246","13","18","0"
"29-525 Sheep Mountain","33","85","7","2","1"
"29-530 Sutton","155","279","14","20","0"
"29-535 Valdez No. 1","205","189","8","15","0"
"29-540 Valdez No. 2","110","109","6","7","0"
"29-545 Valdez No. 3","144","179","9","21","0"
"30-550 Anderson/Clear","31","87","1","3","0"
"30-555 Big Lake","260","828","1","30","3"
"30-560 Cantwell","42","41","0","4","0"
"30-565 Denali Park","64","12","0","3","0"
"30-570 East Schrock","21","68","0","7","0"
"30-575 Healy","141","177","2","14","0"
"30-580 Houston","139","391","6","27","2"
"30-585 Knik Goose Bay No. 4","199","744","5","23","3"
"30-590 Trapper Creek","34","118","2","6","1"
"30-595 Susitna","153","302","3","16","1"
"30-600 Talkeetna","188","115","5","12","0"
"30-605 Willow","279","629","4","25","4"
"31-446 Aurora","413","408","3","31","0"
"31-455 Fairbanks No. 1","487","373","7","45","0"
"31-480 Fairbanks No. 2","467","374","4","29","0"
"31-485 Fairbanks No. 3","353","335","3","36","4"
"32-355 Fairbanks No. 4","307","318","9","34","0"
"32-365 Fairbanks No. 5","256","266","9","21","0"
"32-375 Fort Wainwright","57","66","2","7","0"
"32-385 Badger No. 2","293","667","8","33","0"
"33-130 Badger No. 1","301","601","14","51","2"
"33-135 Chena Lakes","254","633","22","42","1"
"33-155 Moose Creek","24","85","3","4","0"
"33-165 Newby","310","751","30","49","0"
"33-175 North Pole","163","334","18","18","1"
"33-183 Plack","233","662","23","37","1"
"34-235 Eielson","68","108","1","5","0"
"34-238 Eielson Farm Road","19","38","0","1","0"
"34-240 Farmers Loop","555","294","3","24","3"
"34-260 Salcha","107","304","0","19","0"
"34-263 Steele Creek","429","545","5","22","5"
"34-265 Steese","424","566","8","39","1"
"34-270 Summit","329","463","3","22","0"
"34-280 Two Rivers","168","291","2","12","1"
"35-580 Airport","125","162","2","3","0"
"35-582 Chena","711","590","4","17","0"
"35-584 Ester","362","201","0","15","0"
"35-586 Geist","297","226","2","12","0"
"35-587 Lakeview","44","70","0","2","0"
"35-592 Shanly","235","139","1","10","0"
"35-595 University Hills","407","164","0","17","0"
"35-596 University West","693","482","6","30","0"
"36-001 Goldstream No. 1","344","252","7","31","1"
"36-002 Goldstream No. 2","446","215","8","30","0"
"36-010 Allakaket","42","4","4","6","0"
"36-014 Anvik","19","5","2","1","0"
"36-018 Arctic Village","20","8","0","4","0"
"36-022 Beaver","17","4","1","2","0"
"36-026 Bettles","8","8","0","0","0"
"36-034 Central","8","29","0","4","0"
"36-038 Chistochina","24","40","1","5","0"
"36-042 Circle","10","6","3","2","1"
"36-046 Copper Center","96","173","5","4","0"
"36-050 Delta Junction","43","248","3","7","0"
"36-054 Deltana","181","833","6","27","2"
"36-058 Dot Lake","4","36","0","0","1"
"36-062 Eagle","10","34","0","1","0"
"36-066 Fort Yukon","89","17","7","16","0"
"36-070 Gakona","38","38","2","1","0"
"36-074 Galena","91","27","9","5","0"
"36-078 Glennallen","37","106","3","2","0"
"36-082 Grayling","34","11","3","2","0"
"36-086 Holy Cross","21","8","1","0","1"
"36-090 Hughes","26","4","2","0","0"
"36-094 Huslia","55","17","4","2","0"
"36-098 Kaltag","37","7","2","1","0"
"36-102 Kenny Lake","51","89","2","11","0"
"36-106 Koyukuk","27","1","3","2","0"
"36-110 Manley","11","30","1","3","0"
"36-114 McGrath","27","48","2","4","1"
"36-118 Mentasta","23","7","1","0","0"
"36-122 Minto","31","10","4","0","0"
"36-126 Nenana","103","152","3","13","0"
"36-130 Nikolai","28","4","5","2","0"
"36-134 Northway","48","16","10","2","0"
"36-138 Nulato","57","5","2","2","1"
"36-142 Ruby","30","5","0","0","0"
"36-146 Shageluk","19","2","0","1","0"
"36-162 Tanana","47","5","5","6","0"
"36-166 Tetlin","18","5","0","1","0"
"36-170 Tok","132","322","6","11","1"
"36-174 Venetie","24","11","3","5","1"
"37-700 Akutan","32","5","2","6","3"
"37-702 Aleknagik","34","12","4","1","0"
"37-704 Aleutians No. 1","12","6","0","2","0"
"37-706 Aleutians No. 2","246","146","13","26","2"
"37-707 Aniak","79","15","0","2","0"
"37-708 Chignik","7","3","0","0","0"
"37-709 Chuathbaluk","13","6","0","1","1"
"37-710 Clark's Point","9","3","0","0","0"
"37-712 Cold Bay","9","3","0","2","0"
"37-713 Crooked Creek","12","0","0","0","0"
"37-714 Dillingham","423","132","9","13","0"
"37-716 Egegik","1","3","1","0","0"
"37-718 Ekwok","17","14","0","3","0"
"37-719 Goodnews Bay","44","5","0","0","0"
"37-720 King Cove","68","35","4","5","0"
"37-722 King Salmon","50","45","3","3","0"
"37-724 Koliganek","43","9","1","4","0"
"37-726 Lake Iliamna No. 1","47","44","2","7","0"
"37-728 Lake Iliamna No. 2","47","11","0","1","1"
"37-730 Levelock","9","0","0","0","0"
"37-731 Lower Kalskag","36","13","1","1","0"
"37-732 Manokotak","70","7","2","1","0"
"37-734 Naknek","77","48","1","6","0"
"37-736 New Stuyahok","131","9","4","1","3"
"37-738 Nondalton","27","6","1","5","1"
"37-740 Pedro Bay","4","3","0","1","0"
"37-742 Port Heiden","18","3","0","2","0"
"37-744 Sand Point","47","35","3","11","1"
"37-746 Sleetmute","24","2","0","0","0"
"37-748 South Naknek","17","2","0","0","0"
"37-752 St. Paul Island","82","8","2","5","0"
"37-754 Togiak","96","23","4","3","2"
"37-756 Tyonek","20","2","0","3","0"
"37-758 Upper Kalskag","42","5","1","0","1"
"38-800 Akiachak","93","21","8","9","0"
"38-802 Akiak","89","20","5","5","0"
"38-806 Atmautluak","38","7","0","0","1"
"38-808 Bethel No. 1","374","104","4","24","2"
"38-810 Bethel No. 2","414","142","4","18","0"
"38-812 Chefornak","78","9","1","6","0"
"38-813 Chevak","124","14","1","4","1"
"38-818 Eek","72","8","0","0","0"
"38-822 Kasigluk","67","4","0","2","0"
"38-824 Kipnuk","102","13","1","6","4"
"38-826 Kongiganak","76","7","2","1","0"
"38-828 Kwethluk","140","12","0","5","1"
"38-830 Kwigillingok","39","12","1","4","0"
"38-836 Mekoryuk","53","10","0","1","0"
"38-838 Napakiak","71","4","1","1","0"
"38-840 Napaskiak","86","9","0","4","0"
"38-842 Newtok","23","2","2","2","0"
"38-844 Nightmute","36","3","1","3","0"
"38-846 Nunapitchuk","86","13","2","11","1"
"38-848 Quinhagak","111","12","2","4","1"
"38-852 Toksook Bay","127","19","4","2","1"
"38-854 Tuluksak","44","14","1","1","0"
"38-856 Tuntutuliak","108","16","3","4","0"
"38-858 Tununak","67","7","5","3","0"
"39-900 Alakanuk","83","14","0","2","0"
"39-902 Brevig Mission","105","15","1","3","1"
"39-906 Diomede","9","1","0","0","2"
"39-908 Elim","54","20","0","3","0"
"39-910 Emmonak","110","17","3","8","0"
"39-912 Gambell","113","18","1","8","2"
"39-914 Golovin","34","6","0","2","0"
"39-916 Hooper Bay","142","12","1","6","0"
"39-918 Kotlik","72","10","1","3","2"
"39-920 Koyuk","55","19","2","3","1"
"39-921 Marshall","82","11","1","3","0"
"39-922 Mountain Village","91","19","1","3","1"
"39-924 Nome No. 1","224","83","1","9","1"
"39-926 Nome No. 2","374","118","2","10","2"
"39-928 Nunam Iqua","25","3","0","2","0"
"39-930 Pilot Station","70","9","2","2","1"
"39-931 Russian Mission","62","10","1","1","1"
"39-932 Savoonga","123","19","0","2","1"
"39-934 Scammon Bay","96","12","0","2","2"
"39-936 Shaktoolik","49","7","0","0","0"
"39-938 Shishmaref","157","19","3","4","0"
"39-940 St. Mary's","102","17","1","1","0"
"39-942 St. Michael","57","11","1","3","1"
"39-944 Stebbins","80","2","1","0","0"
"39-946 Teller","33","3","0","1","0"
"39-948 Unalakleet","167","32","1","6","0"
"39-950 Wales","19","1","0","0","0"
"39-952 White Mountain","52","8","1","0","0"
"40-004 Anaktuvuk Pass","31","15","6","2","0"
"40-006 Atqasuk","22","6","1","1","1"
"40-008 Utqiagvik","135","50","5","15","0"
"40-010 Browerville","328","152","19","21","0"
"40-012 Buckland","61","9","5","3","0"
"40-014 Deering","19","10","2","1","0"
"40-016 Kaktovik","39","24","4","8","0"
"40-020 Kivalina","45","20","0","2","0"
"40-024 Kotzebue","354","126","18","16","1"
"40-026 Noatak","66","20","8","7","1"
"40-030 Nuiqsut","30","8","3","5","0"
"40-032 Point Hope","55","20","6","9","0"
"40-034 Point Lay","18","11","0","0","0"
"40-036 Selawik","54","17","3","6","1"
"40-038 Shungnak","55","5","2","3","1"
"40-040 Wainwright","68","25","8","0","0"
"District 1 - Absentee","988","644","30","77","9"
"District 1 - Early Voting","10","4","0","0","0"
"District 1  - Question","144","117","8","14","1"
"District 10 - Absentee","1028","527","12","42","3"
"District 10 - Early Voting","485","309","8","19","1"
"District 10  - Question","66","52","2","4","0"
"District 11 - Absentee","1308","631","7","38","2"
"District 11 - Early Voting","659","408","3","8","0"
"District 11  - Question","98","71","1","6","0"
"District 12 - Absentee","979","367","21","72","3"
"District 12 - Early Voting","508","294","16","32","3"
"District 12  - Question","83","45","5","12","2"
"District 13 - Absentee","820","295","19","52","3"
"District 13 - Early Voting","447","235","14","29","5"
"District 13  - Question","67","53","1","7","2"
"District 14 - Absentee","1114","247","5","45","5"
"District 14 - Early Voting","744","275","7","23","0"
"District 14  - Question","146","100","7","15","1"
"District 15 - Absentee","1219","487","5","41","2"
"District 15 - Early Voting","561","380","2","13","0"
"District 15  - Question","100","85","2","9","0"
"District 16 - Absentee","1297","377","35","94","7"
"District 16 - Early Voting","785","301","26","40","1"
"District 16  - Question","89","68","4","12","1"
"District 17 - Absentee","1314","278","14","70","1"
"District 17 - Early Voting","1176","295","20","54","6"
"District 17  - Question","150","61","5","15","2"
"District 18 - Absentee","418","264","4","36","3"
"District 18 - Early Voting","193","74","4","18","0"
"District 18  - Question","37","32","1","3","1"
"District 19 - Absentee","643","154","3","37","3"
"District 19 - Early Voting","353","81","0","10","1"
"District 19  - Question","107","51","5","9","2"
"District 2 - Absentee","1718","877","10","102","3"
"District 2 - Early Voting","36","13","0","2","0"
"District 2  - Question","75","53","3","7","1"
"District 20 - Absentee","865","293","20","73","1"
"District 20 - Early Voting","432","207","13","30","4"
"District 20  - Question","121","67","5","17","2"
"District 21 - Absentee","1225","441","19","78","2"
"District 21 - Early Voting","550","262","15","34","3"
"District 21  - Question","75","47","4","12","1"
"District 22 - Absentee","514","222","6","38","2"
"District 22 - Early Voting","276","148","5","14","1"
"District 22  - Question","62","33","4","9","2"
"District 23 - Absentee","1119","786","9","55","0"
"District 23 - Early Voting","708","660","2","11","1"
"District 23  - Question","65","76","0","4","0"
"District 24 - Absentee","724","632","15","63","2"
"District 24 - Early Voting","560","655","15","28","4"
"District 24  - Question","81","114","5","13","1"
"District 25 - Absentee","589","473","20","55","12"
"District 25 - Early Voting","848","828","37","60","6"
"District 25  - Question","86","148","20","14","1"
"District 26 - Absentee","347","534","4","26","4"
"District 26 - Early Voting","442","941","4","30","1"
"District 26  - Question","65","155","4","7","3"
"District 27 - Absentee","364","467","6","16","4"
"District 27 - Early Voting","464","1004","7","36","3"
"District 27  - Question","47","174","2","9","2"
"District 28 - Absentee","404","475","11","32","5"
"District 28 - Early Voting","496","1009","18","44","4"
"District 28  - Question","56","175","5","7","2"
"District 29 - Absentee","638","639","28","51","8"
"District 29 - Early Voting","531","842","33","43","7"
"District 29  - Question","83","107","13","19","2"
"District 3 - Absentee","1292","417","9","70","2"
"District 3 - Early Voting","1473","536","6","55","2"
"District 3  - Question","129","79","2","8","1"
"District 30 - Early Voting - 1","237","426","2","16","1"
"District 30 - Early Voting - 2","20","5","0","0","0"
"District 30 - Question - 1","49","128","2","7","2"
"District 30 - Question - 2","11","33","0","5","0"
"District 31 - Absentee","524","245","6","26","2"
"District 31 - Early Voting","661","322","1","35","2"
"District 31  - Question","68","51","3","11","1"
"District 32 - Absentee","243","216","7","18","4"
"District 32 - Early Voting","215","211","10","17","0"
"District 32  - Question","41","69","0","2","0"
"District 33 - Absentee","320","395","5","40","4"
"District 33 - Early Voting","278","341","16","26","3"
"District 33  - Question","49","90","2","16","4"
"District 34 - Absentee","724","436","7","30","3"
"District 34 - Early Voting","828","520","2","35","3"
"District 34  - Question","84","122","3","10","2"
"District 35 - Absentee","788","316","2","41","1"
"District 35 - Early Voting","1078","392","3","36","1"
"District 35  - Question","99","86","5","1","0"
"District 36 - Early Voting - 1","24","19","1","5","1"
"District 36 - Early Voting - 2","276","131","8","29","0"
"District 36 - Question - 1","28","31","1","2","0"
"District 36 - Question - 2","94","83","7","10","3"
"District 37 - Early Voting - 1 ","43","23","5","1","1"
"District 37  - Question - 1","44","28","4","3","1"
"District 37  - Question - 2","7","1","1","0","0"
"District 38 - Absentee","283","57","8","7","1"
"District 38 - Early Voting","46","7","0","1","0"
"District 38  - Question","117","40","6","7","3"
"District 39 - Early Voting - 1","156","47","0","4","1"
"District 39 - Early Voting - 2","16","1","0","0","0"
"District 39  - Question - 1","39","17","1","3","2"
"District 39  - Question - 2","15","11","0","1","0"
"District 4 - Absentee","1031","228","37","95","3"
"District 4 - Early Voting","1720","444","64","134","4"
"District 4  - Question","201","69","10","17","6"
"District 40 - Absentee","169","43","9","13","3"
"District 40 - Early Voting","20","15","1","2","0"
"District 40  - Question","60","38","6","5","0"
"District 5 - Absentee","1202","609","28","73","5"
"District 5 - Early Voting","28","7","1","1","0"
"District 5  - Question","81","72","5","7","1"
"District 6 - Absentee","1129","798","12","65","3"
"District 6 - Early Voting","1189","631","13","40","3"
"District 6  - Question","70","102","2","14","0"
"District 7 - Absentee","787","990","10","45","5"
"District 7 - Early Voting","366","492","0","11","1"
"District 7  - Question","50","73","0","5","0"
"District 8 - Absentee","742","1136","22","57","9"
"District 8 - Early Voting","264","590","12","36","0"
"District 8  - Question","16","74","1","4","1"
"District 9 - Absentee","1752","733","27","58","1"
"District 9 - Early Voting","891","506","13","32","3"
"District 9  - Question","104","76","2","13","0"
"HD99 Fed Overseas Absentee","77","10","0","17","0"
"House District 30 - Judicial District 3","731","828","9","45","1"
"House District 30 - Judicial District 4","184","106","1","10","0"
"House District 36 - Judicial District 3","196","240","9","14","1"
"House District 36 - Judicial District 4","512","587","15","56","5"
"House District 37 - Judicial District 3","468","214","12","33","7"
"House District 37 - Judicial District 4","18","4","0","3","0"
"House District 39 - Judicial District 2","126","43","1","3","1"
"House District 39 - Judicial District 4","40","2","0","1","0"
"Total","136330","117528","3273","9107","559"
