"1","Harris/Walz","Sonski/Onak","Blank","Exhausted","Overvote"
"08-080 Sterling No. 1","135","54","1","515","2"
"08-085 Sterling No. 2","140","39","3","635","1"
"09-105 Girdwood","610","22","10","187","1"
"09-110 Indian","71","4","1","55","0"
"09-115 South Anchorage No. 1","506","62","16","555","1"
"09-120 South Anchorage No. 2","460","62","7","687","0"
"09-125 South Anchorage No. 3","444","46","7","535","3"
"09-130 South Anchorage No. 4","487","46","11","584","1"
"09-135 South Anchorage No. 5","238","19","2","241","0"
"09-140 Stuckagain Heights","88","2","2","67","0"
"09-145 Whittier","35","3","1","43","1"
"10-150 Dimond","395","53","3","364","9"
"10-155 Oceanview No. 1","496","54","7","487","1"
"10-160 Oceanview No. 2","313","21","10","372","2"
"10-165 Oceanview No. 3","430","64","5","459","3"
"10-170 Oceanview No. 4","385","35","5","408","1"
"10-175 Oceanview No. 5","301","40","2","331","1"
"11-205 Hillside No. 1","303","44","2","277","5"
"11-210 Hillside No. 2","556","59","7","579","10"
"11-215 Hillside No. 3","255","31","3","351","0"
"11-220 Hillside No. 4","260","35","3","386","1"
"11-225 Hillside No. 5","326","13","2","410","0"
"11-230 Hillside No. 6","361","38","8","374","0"
"11-235 Hillside No. 7","319","28","6","295","0"
"12-250 Southeast Anchorage No. 1","386","68","2","422","2"
"12-255 Southeast Anchorage No. 2","209","31","1","246","1"
"12-260 Southeast Anchorage No. 3","376","58","1","363","1"
"12-265 Southeast Anchorage No. 4","378","45","6","380","0"
"12-270 Southeast Anchorage No. 5","451","71","8","430","8"
"12-275 Southeast Anchorage No. 6","421","36","3","338","4"
"13-305 South Midtown No. 1","93","14","1","115","0"
"13-310 South Midtown No. 2","521","55","3","505","4"
"13-315 South Midtown No. 3","466","70","2","437","5"
"13-320 South Midtown No. 4","457","65","3","426","3"
"13-325 South Midtown No. 5","569","69","5","340","6"
"14-350 North Midtown No. 1","179","13","0","95","3"
"14-355 North Midtown No. 2","218","23","2","146","0"
"14-360 North Midtown No. 3","162","22","1","136","0"
"14-365 North Midtown No. 4","250","26","2","171","3"
"14-370 North Midtown No. 5","414","47","4","275","7"
"14-375 North Midtown No. 6","261","33","1","202","1"
"14-380 North Midtown No. 7","551","29","9","278","1"
"15-405 Southwest Anchorage No. 1","305","31","5","326","0"
"15-410 Southwest Anchorage No. 2","369","42","10","369","4"
"15-415 Southwest Anchorage No. 3","455","51","5","430","2"
"15-420 Southwest Anchorage No. 4","401","67","3","351","8"
"15-425 Southwest Anchorage No. 5","385","44","9","352","4"
"15-430 Southwest Anchorage No. 6","512","59","8","595","8"
"16-450 West Anchorage No. 1","466","17","7","170","0"
"16-455 West Anchorage No. 2","471","51","3","271","3"
"16-460 West Anchorage No. 3","607","53","9","382","3"
"16-465 West Anchorage No. 4","266","53","5","212","0"
"16-470 West Anchorage No. 5","423","54","6","426","1"
"16-475 West Anchorage No. 6","375","36","5","352","2"
"16-480 West Anchorage No. 7","300","58","3","256","3"
"17-505 Downtown Anchorage No. 1","207","10","3","127","0"
"17-510 Downtown Anchorage No. 2","352","14","4","124","0"
"17-515 Downtown Anchorage No. 3","224","10","4","108","1"
"17-520 Downtown Anchorage No. 4","412","29","4","189","2"
"17-525 Downtown Anchorage No. 5","274","23","1","133","2"
"17-530 Downtown Anchorage No. 6","196","18","1","96","5"
"17-535 Downtown Anchorage No. 7","278","23","1","144","1"
"18-550 Government Hill","248","17","2","152","0"
"18-555 JBER No.1","236","76","3","517","0"
"18-556 JBER No.2","87","27","0","124","0"
"18-560 North Muldoon","173","18","3","156","1"
"18-565 Ship Creek","50","5","0","31","0"
"19-605 Airport Heights No. 1","477","27","2","216","2"
"19-610 Airport Heights No. 2","340","17","2","363","1"
"19-615 Mountainview No. 1","238","34","0","128","2"
"19-620 Mountainview No. 2","206","26","1","145","2"
"19-625 South Mountainview","234","28","1","198","1"
"20-650 University No. 1","161","19","0","88","2"
"20-655 University No. 2","501","47","4","366","2"
"20-660 University No. 3","515","53","3","339","9"
"20-665 University No. 4","245","22","2","157","1"
"20-670 University No. 5","709","73","11","508","11"
"21-705 East Anchorage No. 1","373","24","4","291","2"
"21-710 East Anchorage No. 2","382","51","2","368","1"
"21-715 East Anchorage No. 3","522","78","7","502","8"
"21-720 East Anchorage No. 4","448","48","2","356","4"
"21-725 East Anchorage No. 5","641","70","4","496","6"
"22-750 Northeast Anchorage No. 1","434","63","3","324","2"
"22-755 Northeast Anchorage No. 2","383","60","0","317","6"
"22-760 Northeast Anchorage No. 3","481","58","5","342","7"
"22-765 Northeast Anchorage No. 4","270","54","4","234","12"
"23-805 Chugach Park No. 1","423","76","5","562","0"
"23-810 Eagle River No. 1","240","47","5","338","2"
"23-815 Eagle River No. 2","300","52","7","320","2"
"23-820 Hiland","229","46","2","361","0"
"23-825 Meadow Creek No. 1","310","50","3","357","3"
"23-830 Meadow Creek No. 2","148","17","1","253","4"
"24-850 Chugach Park No. 2","222","36","8","411","2"
"24-855 Chugiak","114","28","1","225","0"
"24-860 Eagle River No. 3","222","41","3","348","0"
"24-865 Eklutna","218","55","1","365","3"
"24-870 Fire Lake","247","70","3","402","3"
"24-875 Peters Creek No. 1","269","67","8","638","1"
"24-880 Peters Creek No. 2","163","42","1","320","0"
"25-305 Butte","304","99","12","792","1"
"25-310 Greater Palmer","168","36","3","334","1"
"25-315 Lazy Mountain","225","56","3","503","1"
"25-320 Palmer City No. 1","192","33","3","322","1"
"25-325 Palmer City No. 2","214","39","2","306","1"
"25-330 Springer Loop","204","62","5","479","1"
"25-335 Walby","153","73","7","435","2"
"26-350 Fairview No. 1","95","44","1","358","0"
"26-355 Fairview No. 2","103","35","1","253","2"
"26-360 Knik Goose Bay No. 1","227","87","6","855","1"
"26-365 Knik Goose Bay No. 2","171","60","3","549","0"
"26-370 Knik Goose Bay No. 3","112","48","1","349","0"
"26-375 Mat-Su Campus","176","48","5","402","2"
"26-380 Snowshoe","208","77","0","702","0"
"27-405 Foothills","138","63","4","508","3"
"27-410 Meadow Lakes No. 1","191","95","3","775","3"
"27-415 Meadow Lakes No. 2","159","80","7","650","0"
"27-420 Wasilla No. 1","179","70","6","483","4"
"27-425 Wasilla No. 2","205","87","8","642","1"
"28-450 Lakes No. 1","141","58","4","387","0"
"28-455 Lakes No. 2","101","24","4","276","1"
"28-460 Seldon No. 1","174","42","3","733","1"
"28-465 Seldon No. 2","244","94","7","603","2"
"28-470 Seward Meridian","102","35","4","262","0"
"28-475 Trunk","234","63","6","453","3"
"28-480 Wasilla Lake","98","35","1","261","0"
"29-505 Farm Loop","210","75","4","687","1"
"29-510 Fishhook","368","89","8","929","4"
"29-515 Kings Lake","194","61","3","625","2"
"29-520 Lakes No. 3","88","31","1","232","1"
"29-525 Sheep Mountain","24","2","1","122","1"
"29-530 Sutton","141","33","2","328","0"
"29-535 Valdez No. 1","170","30","3","272","0"
"29-540 Valdez No. 2","96","5","1","121","1"
"29-545 Valdez No. 3","126","22","4","224","3"
"30-550 Anderson/Clear","27","4","0","106","0"
"30-555 Big Lake","215","106","8","859","6"
"30-560 Cantwell","42","5","1","38","0"
"30-565 Denali Park","59","1","0","12","0"
"30-570 East Schrock","21","14","0","55","0"
"30-575 Healy","121","37","1","215","0"
"30-580 Houston","109","43","0","371","2"
"30-585 Knik Goose Bay No. 4","228","101","6","780","0"
"30-590 Trapper Creek","31","3","1","83","1"
"30-595 Susitna","126","28","3","340","0"
"30-600 Talkeetna","146","12","3","99","0"
"30-605 Willow","236","68","5","684","3"
"31-446 Aurora","410","57","5","420","0"
"31-455 Fairbanks No. 1","479","47","7","404","4"
"31-480 Fairbanks No. 2","424","70","12","406","2"
"31-485 Fairbanks No. 3","423","69","3","369","10"
"32-355 Fairbanks No. 4","353","61","4","384","2"
"32-365 Fairbanks No. 5","273","41","3","270","2"
"32-375 Fort Wainwright","111","64","0","200","2"
"32-385 Badger No. 2","311","117","6","744","2"
"33-130 Badger No. 1","313","108","4","753","5"
"33-135 Chena Lakes","225","120","6","824","4"
"33-155 Moose Creek","37","7","1","103","0"
"33-165 Newby","271","133","9","836","0"
"33-175 North Pole","177","78","2","480","1"
"33-183 Plack","201","135","0","802","0"
"34-235 Eielson","92","52","0","187","1"
"34-238 Eielson Farm Road","10","0","0","48","0"
"34-240 Farmers Loop","482","41","7","381","0"
"34-260 Salcha","104","50","2","379","1"
"34-263 Steele Creek","362","92","3","588","4"
"34-265 Steese","393","67","8","553","6"
"34-270 Summit","325","74","11","467","3"
"34-280 Two Rivers","139","37","3","324","0"
"35-580 Airport","122","29","3","180","1"
"35-582 Chena","675","78","10","667","2"
"35-584 Ester","337","28","2","198","2"
"35-586 Geist","275","41","1","263","0"
"35-587 Lakeview","39","9","0","75","0"
"35-592 Shanly","237","38","2","155","0"
"35-595 University Hills","364","29","8","219","0"
"35-596 University West","650","100","11","530","0"
"36-001 Goldstream No. 1","325","34","7","283","2"
"36-002 Goldstream No. 2","477","35","10","254","2"
"36-010 Allakaket","36","0","1","2","1"
"36-014 Anvik","19","3","0","3","0"
"36-018 Arctic Village","49","0","0","4","0"
"36-022 Beaver","13","1","0","3","0"
"36-026 Bettles","5","1","0","5","0"
"36-034 Central","7","0","0","33","1"
"36-038 Chistochina","13","2","0","54","2"
"36-042 Circle","16","0","0","4","0"
"36-046 Copper Center","98","35","2","217","2"
"36-050 Delta Junction","43","39","2","271","3"
"36-054 Deltana","147","70","5","974","2"
"36-058 Dot Lake","4","1","0","44","0"
"36-062 Eagle","20","1","1","46","1"
"36-066 Fort Yukon","100","5","2","31","2"
"36-070 Gakona","22","5","4","79","0"
"36-074 Galena","84","12","0","50","0"
"36-078 Glennallen","35","20","1","123","0"
"36-082 Grayling","27","7","2","16","3"
"36-086 Holy Cross","33","1","1","6","0"
"36-090 Hughes","19","1","0","10","0"
"36-094 Huslia","71","0","4","19","1"
"36-098 Kaltag","26","2","1","9","2"
"36-102 Kenny Lake","44","16","0","125","0"
"36-106 Koyukuk","25","1","1","1","1"
"36-110 Manley","10","1","0","36","0"
"36-114 McGrath","28","5","3","57","1"
"36-118 Mentasta","26","3","0","10","0"
"36-122 Minto","25","5","0","21","0"
"36-126 Nenana","109","29","3","171","2"
"36-130 Nikolai","13","4","0","9","1"
"36-134 Northway","30","8","0","30","3"
"36-138 Nulato","57","2","0","18","0"
"36-142 Ruby","19","0","0","11","0"
"36-146 Shageluk","19","2","0","1","1"
"36-162 Tanana","61","2","0","16","0"
"36-166 Tetlin","14","4","0","12","0"
"36-170 Tok","104","33","9","375","1"
"36-174 Venetie","34","0","1","10","0"
"37-700 Akutan","28","3","0","17","1"
"37-702 Aleknagik","19","9","1","37","3"
"37-704 Aleutians No. 1","11","0","1","7","0"
"37-706 Aleutians No. 2","251","19","1","260","3"
"37-707 Aniak","60","7","1","37","2"
"37-708 Chignik","10","1","1","4","0"
"37-709 Chuathbaluk","9","2","0","6","2"
"37-710 Clark's Point","13","2","0","4","0"
"37-712 Cold Bay","7","1","1","11","0"
"37-713 Crooked Creek","13","3","0","3","0"
"37-714 Dillingham","291","35","6","216","2"
"37-716 Egegik","0","0","0","11","0"
"37-718 Ekwok","11","4","0","19","0"
"37-719 Goodnews Bay","42","6","1","6","3"
"37-720 King Cove","26","5","1","76","3"
"37-722 King Salmon","43","10","2","73","0"
"37-724 Koliganek","33","6","0","33","0"
"37-726 Lake Iliamna No. 1","37","11","0","55","0"
"37-728 Lake Iliamna No. 2","34","10","1","30","3"
"37-730 Levelock","15","2","0","6","1"
"37-731 Lower Kalskag","41","7","1","11","1"
"37-732 Manokotak","36","12","0","51","5"
"37-734 Naknek","51","6","1","83","1"
"37-736 New Stuyahok","39","0","1","13","0"
"37-738 Nondalton","29","1","0","9","5"
"37-740 Pedro Bay","3","0","0","11","0"
"37-742 Port Heiden","13","1","0","10","0"
"37-744 Sand Point","37","4","2","79","1"
"37-746 Sleetmute","16","4","0","4","0"
"37-748 South Naknek","8","0","2","7","1"
"37-750 St. George Island","3","1","1","2","0"
"37-752 St. Paul Island","80","4","2","21","0"
"37-754 Togiak","62","23","3","47","14"
"37-756 Tyonek","29","1","0","7","0"
"37-758 Upper Kalskag","35","4","0","16","2"
"38-800 Akiachak","84","15","1","56","5"
"38-802 Akiak","38","8","3","41","0"
"38-806 Atmautluak","25","2","2","14","2"
"38-808 Bethel No. 1","354","46","1","177","3"
"38-810 Bethel No. 2","322","56","3","189","5"
"38-812 Chefornak","69","5","0","21","1"
"38-818 Eek","52","7","1","34","1"
"38-822 Kasigluk","47","4","0","12","2"
"38-824 Kipnuk","65","8","0","35","5"
"38-826 Kongiganak","50","24","3","12","5"
"38-828 Kwethluk","95","12","0","24","2"
"38-830 Kwigillingok","31","20","0","24","6"
"38-836 Mekoryuk","33","7","1","24","4"
"38-838 Napakiak","43","5","2","19","2"
"38-840 Napaskiak","55","11","0","1","1"
"38-842 Newtok","32","13","0","4","7"
"38-844 Nightmute","12","6","2","11","3"
"38-846 Nunapitchuk","53","10","0","34","1"
"38-848 Quinhagak","70","20","1","33","10"
"38-852 Toksook Bay","110","28","3","31","8"
"38-854 Tuluksak","3","0","0","0","0"
"38-856 Tuntutuliak","78","15","0","23","1"
"38-858 Tununak","54","12","0","11","4"
"39-900 Alakanuk","51","13","0","19","4"
"39-902 Brevig Mission","58","11","1","27","5"
"39-906 Diomede","9","0","0","1","0"
"39-908 Elim","49","24","0","30","0"
"39-910 Emmonak","90","8","3","41","6"
"39-912 Gambell","73","16","2","49","6"
"39-914 Golovin","34","5","0","10","0"
"39-916 Hooper Bay","95","6","2","54","10"
"39-918 Kotlik","63","6","0","40","0"
"39-920 Koyuk","42","15","1","38","4"
"39-921 Marshall","40","17","1","26","2"
"39-922 Mountain Village","79","22","1","27","3"
"39-924 Nome No. 1","168","19","2","112","2"
"39-926 Nome No. 2","329","64","0","184","3"
"39-928 Nunam Iqua","22","4","1","9","1"
"39-930 Pilot Station","67","12","0","9","6"
"39-931 Russian Mission","25","3","2","28","1"
"39-932 Savoonga","119","12","1","22","5"
"39-934 Scammon Bay","68","20","0","14","6"
"39-936 Shaktoolik","27","7","2","20","1"
"39-938 Shishmaref","140","13","2","20","0"
"39-940 St. Mary's","87","4","2","23","1"
"39-942 St. Michael","32","7","3","21","2"
"39-944 Stebbins","46","9","0","14","4"
"39-946 Teller","23","2","0","11","0"
"39-948 Unalakleet","137","16","1","63","4"
"39-950 Wales","6","0","0","2","0"
"39-952 White Mountain","50","3","0","16","0"
"40-002 Ambler","20","6","3","13","2"
"40-004 Anaktuvuk Pass","29","4","2","22","1"
"40-006 Atqasuk","10","7","1","18","1"
"40-008 Utqiagvik","124","24","0","101","0"
"40-010 Browerville","342","72","3","222","8"
"40-012 Buckland","45","13","0","24","2"
"40-014 Deering","19","10","0","7","1"
"40-016 Kaktovik","16","7","0","50","0"
"40-018 Kiana","24","0","1","35","0"
"40-020 Kivalina","23","4","1","32","2"
"40-022 Kobuk","20","1","0","16","1"
"40-024 Kotzebue","334","68","6","161","5"
"40-026 Noatak","31","18","2","50","4"
"40-028 Noorvik","38","13","2","43","0"
"40-030 Nuiqsut","19","3","2","16","4"
"40-032 Point Hope","42","2","1","75","0"
"40-034 Point Lay","12","7","0","11","0"
"40-036 Selawik","29","8","0","39","2"
"40-038 Shungnak","30","3","0","14","3"
"40-040 Wainwright","39","18","0","71","1"
"District 1 - Absentee","1371","117","15","1531","9"
"District 1 - Early Voting","13","4","0","3","0"
"District 1  - Question","195","41","2","258","2"
"District 10 - Absentee","1190","56","22","701","3"
"District 10 - Early Voting","736","61","4","754","2"
"District 10  - Question","113","21","2","120","2"
"District 11 - Absentee","1572","80","31","873","3"
"District 11 - Early Voting","851","65","9","854","5"
"District 11  - Question","106","21","0","109","2"
"District 12 - Absentee","1286","74","9","610","4"
"District 12 - Early Voting","843","57","2","697","1"
"District 12  - Question","119","28","3","88","2"
"District 13 - Absentee","1084","54","9","512","1"
"District 13 - Early Voting","678","69","7","635","3"
"District 13  - Question","149","36","2","154","5"
"District 14 - Absentee","1342","68","10","431","10"
"District 14 - Early Voting","1010","61","6","553","5"
"District 14  - Question","221","37","3","162","11"
"District 15 - Absentee","1300","62","17","764","2"
"District 15 - Early Voting","839","65","5","833","1"
"District 15  - Question","125","27","3","125","3"
"District 16 - Absentee","1558","54","12","632","2"
"District 16 - Early Voting","1110","62","10","650","5"
"District 16  - Question","140","21","1","137","3"
"District 17 - Absentee","1649","60","12","540","8"
"District 17 - Early Voting","1459","77","4","555","10"
"District 17  - Question","215","28","4","135","17"
"District 18 - Absentee","769","98","5","697","2"
"District 18 - Early Voting","266","32","0","209","1"
"District 18  - Question","261","97","3","470","4"
"District 19 - Absentee","824","46","3","258","13"
"District 19 - Early Voting","541","38","2","247","2"
"District 19  - Question","202","38","3","147","11"
"District 2 - Absentee","2548","178","25","1903","19"
"District 2 - Early Voting","43","5","0","27","1"
"District 2  - Question","124","20","2","121","5"
"District 20 - Absentee","1192","75","6","530","3"
"District 20 - Early Voting","726","55","3","510","6"
"District 20  - Question","187","44","2","132","8"
"District 21 - Absentee","1634","89","7","740","5"
"District 21 - Early Voting","827","59","4","645","6"
"District 21  - Question","198","50","4","139","11"
"District 22 - Absentee","733","64","7","414","7"
"District 22 - Early Voting","473","39","3","401","7"
"District 22  - Question","147","36","3","123","5"
"District 23 - Absentee","1403","133","15","1184","3"
"District 23 - Early Voting","1295","172","12","2033","5"
"District 23  - Question","120","38","0","165","1"
"District 24 - Absentee","927","107","14","1000","2"
"District 24 - Early Voting","1039","157","12","2047","5"
"District 24  - Question","101","40","4","190","0"
"District 25 - Absentee","691","68","13","818","7"
"District 25 - Early Voting","1178","158","9","2078","3"
"District 25  - Question","110","52","2","270","3"
"District 26 - Absentee","468","81","5","826","7"
"District 26 - Early Voting","555","146","7","1987","3"
"District 26  - Question","89","51","2","282","2"
"District 27 - Absentee","425","85","6","795","0"
"District 27 - Early Voting","606","160","5","1964","5"
"District 27  - Question","88","72","2","332","3"
"District 28 - Absentee","502","91","4","794","2"
"District 28 - Early Voting","740","181","12","2109","3"
"District 28  - Question","88","59","2","287","1"
"District 29 - Absentee","799","96","14","1112","6"
"District 29 - Early Voting","650","165","10","1980","7"
"District 29  - Question","98","39","5","241","3"
"District 3 - Absentee","1796","83","8","796","2"
"District 3 - Early Voting","2117","107","14","1319","3"
"District 3  - Question","159","23","1","122","3"
"District 31 - Absentee","600","63","14","487","4"
"District 31 - Early Voting","1030","123","10","788","16"
"District 31  - Question","151","30","2","142","3"
"District 32 - Absentee","442","93","5","471","4"
"District 32 - Early Voting","440","76","4","570","4"
"District 32  - Question","211","174","4","451","2"
"District 33 - Absentee","508","90","5","663","1"
"District 33 - Early Voting","466","128","4","1091","4"
"District 33  - Question","72","49","0","180","4"
"District 34 - Absentee","796","89","16","662","5"
"District 34 - Early Voting","1143","154","7","1233","8"
"District 34  - Question","197","90","4","391","1"
"District 35 - Absentee","859","61","5","491","5"
"District 35 - Early Voting","1563","104","8","988","7"
"District 35  - Question","131","30","1","162","2"
"District 38 - Absentee","360","31","4","138","3"
"District 38 - Early Voting","22","3","0","5","0"
"District 38  - Question","126","35","2","101","6"
"District 4 - Absentee","1293","32","8","334","1"
"District 4 - Early Voting","2764","98","15","971","8"
"District 4  - Question","220","46","5","152","4"
"District 40 - Absentee","249","31","4","163","2"
"District 40 - Early Voting","27","3","1","14","1"
"District 40  - Question","102","41","2","104","3"
"District 5 - Absentee","1571","140","28","1392","10"
"District 5 - Early Voting","28","2","0","32","0"
"District 5  - Question","113","36","1","214","3"
"District 6 - Absentee","1256","64","21","1046","2"
"District 6 - Early Voting","1889","107","14","2057","2"
"District 6  - Question","102","23","1","214","0"
"District 7 - Absentee","595","87","8","1014","3"
"District 7 - Early Voting","1008","202","20","2406","9"
"District 7  - Question","63","39","2","192","1"
"District 8 - Absentee","823","113","16","1315","3"
"District 8 - Early Voting","694","189","11","2278","6"
"District 8  - Question","33","23","1","140","0"
"District 9 - Absentee","2045","97","31","1124","3"
"District 9 - Early Voting","1066","76","8","1011","1"
"District 9  - Question","117","24","1","111","0"
"HD99 Fed Overseas Absentee","344","8","0","49","0"
"House District 30 - Judicial District 3","1243","228","28","2863","18"
"House District 30 - Judicial District 4","294","17","1","230","2"
"House District 36 - Judicial District 3","279","40","7","394","1"
"House District 36 - Judicial District 4","1221","153","18","1363","10"
"House District 37 - Judicial District 3","614","67","6","542","12"
"House District 37 - Judicial District 4","107","14","1","76","1"
"House District 39 - Judicial District 2","445","58","7","260","6"
"House District 39 - Judicial District 4","66","17","0","45","4"
"Total","151071","20119","1888","166458","1242"
