"1","Harris/Walz","Harris/Walz","Harris/Walz","Harris/Walz","Harris/Walz","Harris/Walz","Harris/Walz","Harris/Walz","Harris/Walz","Harris/Walz","Harris/Walz","Harris/Walz","Harris/Walz","Harris/Walz","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Oliver/Maat","Oliver/Maat","Oliver/Maat","Oliver/Maat","Oliver/Maat","Oliver/Maat","Oliver/Maat","Oliver/Maat","Oliver/Maat","Oliver/Maat","Oliver/Maat","Oliver/Maat","Oliver/Maat","Oliver/Maat","Trump/Vance","Trump/Vance","Trump/Vance","Trump/Vance","Trump/Vance","Trump/Vance","Trump/Vance","Trump/Vance","Trump/Vance","Trump/Vance","Trump/Vance","Trump/Vance","Trump/Vance","Trump/Vance","Blank","Exhausted","Overvote"
"House District 17","3778","183","288","4","38","240","410","3","25","8","40","36","9","1","35","18","9","0","10","4","7","0","10","0","13","12","14","0","18","15","11","0","3","5","8","0","8","0","7","2","3","0","1745","36","37","12","0","226","23","208","1","37","10","73","2","9","38","25","36"
"House District 18","1385","75","95","0","19","90","191","2","8","4","38","27","9","0","23","5","3","0","7","4","3","0","5","1","23","13","14","0","13","2","3","0","6","2","7","0","4","0","10","2","8","0","1880","33","25","11","0","302","24","298","1","41","10","73","0","0","16","18","7"
"House District 19","2115","120","166","1","31","128","200","1","23","5","34","24","20","0","20","3","12","0","7","5","8","0","1","1","4","7","5","0","7","14","9","0","4","4","11","0","2","1","7","6","5","0","1389","49","34","13","1","189","33","154","5","34","15","61","1","7","14","31","25"
"House District 2","3496","187","221","2","31","198","372","3","29","4","31","27","34","1","73","25","12","1","14","8","17","0","20","0","36","15","27","0","29","12","8","0","1","8","10","0","5","0","7","4","2","0","3434","44","36","17","0","497","42","350","1","40","10","77","2","3","57","43","43"
"House District 20","2819","154","269","4","47","214","330","3","24","9","53","43","14","0","29","11","15","1","7","3","10","1","7","1","19","5","4","0","29","9","6","0","4","4","10","0","6","0","7","4","4","0","2157","64","70","18","2","280","36","282","4","58","7","71","2","9","31","30","27"
"House District 21","3489","170","263","1","44","252","398","4","32","11","50","41","20","2","36","17","6","0","7","1","8","0","9","0","18","8","12","0","19","18","6","0","7","6","14","0","10","1","7","2","5","0","2966","44","65","17","2","356","45","338","2","59","12","88","0","8","34","50","28"
"House District 22","1782","104","221","3","27","129","275","0","31","6","42","63","14","0","13","11","3","0","8","4","10","0","6","0","12","6","7","0","14","6","3","0","0","3","10","0","7","0","8","4","4","0","1805","49","58","21","1","214","44","254","2","39","12","95","1","12","25","22","31"
"House District 23","2952","176","221","0","33","241","378","0","22","3","65","38","22","0","55","14","13","0","11","6","11","0","12","1","39","19","21","1","48","24","10","0","3","13","14","0","12","0","16","8","15","0","4610","62","68","10","1","570","58","443","0","109","11","177","2","6","50","41","7"
"House District 24","2330","127","230","2","25","186","267","3","25","1","48","21","10","0","43","18","11","0","11","4","6","0","15","0","42","14","14","0","40","19","5","0","7","8","13","0","17","0","19","10","8","0","5076","41","37","14","0","523","43","385","3","123","18","229","1","6","55","20","9"
"House District 25","2203","121","261","1","36","185","304","2","17","2","31","30","13","0","57","21","17","0","10","11","6","0","10","1","35","10","21","0","28","12","5","0","4","7","11","0","18","0","21","4","6","0","5357","34","32","11","0","618","44","471","4","113","10","208","2","6","59","29","13"
"House District 26","1370","82","119","0","15","143","221","0","15","2","30","17","18","0","37","14","7","0","10","7","6","0","18","0","36","9","20","0","21","10","8","1","1","6","9","0","6","0","5","7","2","0","5571","18","18","18","0","698","36","539","0","85","8","164","0","4","31","17","13"
"House District 27","1229","66","108","1","25","111","209","2","22","4","20","15","13","0","38","10","4","2","6","6","7","0","8","0","20","7","17","1","18","5","13","0","4","3","7","0","12","0","8","8","10","0","5215","31","23","12","0","630","39","494","3","107","30","199","9","2","41","27","11"
"House District 28","1507","92","158","1","18","154","222","1","21","3","30","29","5","0","48","10","5","0","13","10","10","0","16","0","34","10","11","0","30","18","3","0","5","8","6","0","10","0","15","5","9","1","5251","24","36","7","0","610","45","502","4","104","8","138","1","4","47","27","5"
"House District 29","1927","142","171","1","31","157","221","0","18","1","43","31","9","0","40","17","9","0","5","9","7","0","14","0","38","10","15","0","31","13","10","0","3","6","6","0","11","0","21","3","7","0","5869","47","34","9","0","661","38","504","5","108","12","144","1","7","56","34","14"
"House District 3","4745","250","268","0","46","322","449","1","28","3","57","30","15","1","47","13","14","0","11","9","14","0","6","0","35","17","19","0","37","25","9","0","6","15","10","0","10","0","19","5","9","0","3389","53","48","15","0","450","43","258","0","100","18","136","4","2","52","48","9"
"House District 30","2042","117","163","0","14","139","194","1","12","3","33","15","7","0","40","12","6","0","7","3","2","0","8","1","26","4","17","0","26","13","3","0","1","5","10","0","6","0","15","3","9","0","5820","23","40","10","0","599","29","496","2","125","10","167","2","4","57","26","22"
"House District 31","2220","129","272","1","41","164","316","2","22","8","51","50","7","0","42","10","8","0","8","8","2","0","10","1","17","6","5","0","26","14","4","0","4","3","10","0","9","0","9","4","4","0","2489","47","74","14","2","330","38","329","1","54","9","92","1","7","53","27","30"
"House District 32","1242","83","178","2","25","91","204","0","14","2","38","21","10","1","16","9","11","0","4","1","7","1","5","0","21","14","14","1","10","13","5","0","11","3","5","0","10","0","13","4","7","0","2560","39","39","17","0","335","50","392","3","83","16","214","1","4","26","16","10"
"House District 33","1286","94","190","1","29","135","219","1","19","5","21","27","9","0","29","9","10","0","8","8","8","0","9","0","31","5","23","0","21","8","7","0","2","5","6","0","11","1","16","2","8","0","4840","41","44","15","0","580","52","587","3","111","18","262","1","7","31","35","10"
"House District 34","2758","132","201","1","31","242","324","2","22","2","51","33","18","0","42","12","11","0","9","2","17","1","24","1","41","12","29","0","26","20","7","0","3","9","10","0","9","0","23","5","8","0","4243","31","39","21","0","600","42","552","2","109","12","185","3","5","61","30","19"
"House District 35","3606","183","273","2","36","318","457","1","27","7","58","31","23","0","37","11","8","0","12","4","12","0","10","1","24","8","9","0","25","20","11","0","6","8","7","1","19","0","11","6","11","0","3189","53","32","16","0","431","42","368","2","82","17","172","2","2","51","43","12"
"House District 36","2624","152","266","6","32","155","245","1","25","9","37","39","11","1","68","15","9","0","14","8","12","0","7","2","27","10","17","0","24","10","8","0","4","9","14","0","11","0","11","1","4","0","4401","36","68","13","2","460","35","395","1","113","9","113","1","11","85","55","34"
"House District 37","1347","66","205","4","31","53","119","2","13","9","44","41","8","2","49","7","11","0","6","5","7","0","6","1","6","7","4","0","10","6","1","0","3","2","6","0","3","2","3","0","4","0","1593","40","77","18","1","165","32","207","3","25","3","51","0","13","37","37","49"
"House District 38","1144","69","281","5","36","53","201","3","21","14","38","69","15","1","78","11","26","0","15","6","21","2","14","6","10","18","13","0","8","7","8","0","3","2","17","0","2","1","3","5","2","0","811","41","114","37","1","102","55","246","7","11","13","56","1","12","29","53","59"
"House District 39","1283","95","339","6","42","54","216","5","12","15","55","75","17","2","96","9","30","1","5","6","23","3","7","4","6","15","8","0","10","3","5","1","2","0","15","0","3","2","0","1","1","0","938","42","127","25","4","128","61","255","5","15","13","78","2","12","34","34","63"
"House District 4","4882","204","293","1","35","290","391","2","26","7","64","49","17","0","37","21","10","1","17","5","11","0","10","0","22","10","9","0","17","18","10","0","2","7","12","1","10","0","11","7","6","0","1937","53","59","5","0","285","39","199","2","45","3","79","0","4","47","46","17"
"House District 40","873","46","203","4","20","30","118","0","14","5","23","38","17","1","58","7","16","0","8","7","13","0","10","2","10","7","6","0","11","2","5","0","2","2","8","0","0","0","2","1","2","0","1083","24","83","22","1","97","47","174","0","15","11","128","0","8","31","33","34"
"House District 5","2500","122","206","3","31","166","233","0","23","1","43","42","11","1","41","12","4","0","8","12","8","0","4","0","37","11","8","0","27","10","7","0","5","10","5","0","4","0","13","7","8","0","3256","42","58","8","1","431","59","338","1","58","9","98","1","5","55","33","21"
"House District 6","3798","184","168","2","30","286","319","2","15","3","26","16","6","0","61","23","7","0","12","15","12","0","8","0","51","15","17","0","39","24","9","0","1","7","10","0","6","0","25","5","5","0","5525","28","35","9","0","561","38","325","5","108","2","84","0","5","56","68","7"
"House District 7","1812","108","145","1","25","138","238","1","17","2","30","23","2","0","51","14","7","0","6","5","13","0","9","0","22","10","16","0","25","8","4","0","4","10","14","0","6","0","14","3","6","0","5278","29","35","9","0","617","43","508","4","94","11","151","1","10","56","30","22"
"House District 8","1956","95","149","1","12","133","199","2","13","2","26","17","10","0","46","10","8","0","7","4","5","0","9","0","38","8","5","0","20","10","2","0","2","3","9","1","6","0","9","1","2","0","6448","24","19","10","0","622","40","441","2","113","12","220","0","8","54","28","7"
"House District 9","4437","205","315","3","59","303","431","5","30","5","66","26","15","0","38","15","9","0","15","7","9","0","16","0","49","18","21","0","35","12","9","0","7","8","8","0","13","0","11","5","7","0","4362","49","38","13","0","503","57","329","4","86","12","135","0","3","97","33","5"
"House District 99","273","4","12","0","1","6","42","0","3","0","0","0","0","0","1","1","0","0","1","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","0","0","0","0","2","0","6","0","0","0","3","0","0","0","3","0"
"Total","102115","5418","8922","76","1310","7164","11830","76","896","212","1816","1422","557","19","1754","512","405","7","372","243","376","9","423","28","1059","419","553","3","939","501","275","3","162","227","385","4","318","11","459","173","250","1","139499","1699","2037","589","20","16699","1711","13926","97","2844","461","5098","59","244","1888","1345","858"
