"1","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Blank","Exhausted","Overvote"
"05-825 Kodiak No. 2","190","23","0","54","29","4","1","54","45","21","55","0","13","5","1"
"05-830 Mission Road","466","66","0","115","47","18","0","117","72","54","171","0","14","20","1"
"05-835 Old Harbor","6","3","0","4","1","0","0","4","5","0","3","0","1","0","0"
"05-840 Ouzinkie","11","5","0","1","10","1","0","6","6","2","2","0","3","2","0"
"05-845 Port Lions","28","0","0","6","1","0","0","6","4","1","6","0","0","1","0"
"05-860 Cordova","110","10","0","46","20","4","0","76","57","43","140","0","1","8","0"
"05-865 Seward-Lowell Point","193","26","0","51","38","13","0","116","32","12","71","0","3","4","0"
"05-870 Tatitlek","3","1","0","0","3","0","0","0","5","1","4","0","0","0","0"
"06-200 Anchor Point","528","48","0","79","31","14","0","75","22","9","43","0","9","39","0"
"06-210 Diamond Ridge","205","10","0","26","43","4","0","101","15","3","66","0","5","8","0"
"06-220 Fox River","165","7","0","13","10","1","0","39","12","7","21","0","1","10","0"
"06-230 Homer No. 1","285","19","0","36","54","11","0","157","26","13","87","0","17","31","0"
"06-240 Homer No. 2","287","21","0","44","48","9","0","136","19","15","60","0","7","11","1"
"06-250 Kachemak-Fritz Creek","293","16","0","38","47","9","0","200","36","13","109","0","7","22","0"
"06-260 Kasilof","657","45","3","94","45","18","0","105","35","23","75","0","14","58","1"
"06-270 Ninilchik","338","31","0","41","27","7","0","49","18","15","32","0","9","13","0"
"06-280 Seldovia-Kachemak Bay","54","5","0","13","11","2","0","45","11","1","20","0","3","5","0"
"07-005 Central","479","37","0","80","30","11","0","49","26","23","46","0","5","22","1"
"07-010 K Beach","663","46","0","103","26","20","0","58","33","20","50","0","9","19","2"
"07-015 Kenai No. 1","432","60","0","91","30","18","0","78","37","34","50","0","6","36","1"
"07-020 Kenai No. 2","248","30","0","60","24","6","0","45","22","11","26","0","5","23","1"
"07-025 Kenai No. 3","243","19","0","40","13","9","0","39","19","12","22","0","4","8","0"
"07-030 Soldotna","516","56","0","83","46","16","1","73","33","33","62","0","5","21","3"
"08-035 Bear Creek","278","35","0","52","40","9","0","109","20","17","56","0","7","12","1"
"08-040 Cooper Landing","58","4","0","5","10","2","0","21","4","9","25","0","1","2","0"
"08-045 Funny River No. 1","242","22","0","26","17","8","0","27","11","9","16","0","3","14","1"
"08-050 Funny River No. 2","248","20","0","35","18","5","0","28","3","7","13","0","4","3","1"
"08-055 Hope","19","1","0","2","6","3","0","17","2","4","9","0","0","1","0"
"08-060 Mackey Lake","430","26","0","56","27","10","0","37","16","11","35","0","6","16","0"
"08-065 Moose Pass","55","3","0","9","14","1","0","30","6","0","15","0","1","4","0"
"08-070 Nikiski","553","42","0","73","22","11","0","40","18","21","32","0","8","27","3"
"08-075 Salamatof","562","51","0","86","19","10","0","54","24","21","38","0","6","29","0"
"08-080 Sterling No. 1","495","42","1","66","13","11","0","45","18","15","36","0","7","22","0"
"08-085 Sterling No. 2","585","39","0","80","16","9","0","40","22","14","33","0","3","37","0"
"09-105 Girdwood","114","22","0","28","75","22","0","238","39","21","148","0","6","1","0"
"09-110 Indian","37","7","0","4","10","2","0","29","13","3","17","0","1","0","0"
"09-115 South Anchorage No. 1","454","50","0","120","47","17","0","178","44","34","143","0","7","9","0"
"09-120 South Anchorage No. 2","573","54","0","114","43","18","0","157","35","46","139","0","4","10","0"
"09-125 South Anchorage No. 3","468","38","1","95","65","13","0","176","39","37","131","1","7","4","0"
"09-130 South Anchorage No. 4","481","51","1","113","50","23","0","172","47","37","154","0","0","6","1"
"09-135 South Anchorage No. 5","206","20","0","47","25","10","0","88","15","7","63","0","0","2","0"
"09-140 Stuckagain Heights","54","4","0","10","3","3","0","42","4","3","28","0","1","0","0"
"09-145 Whittier","37","4","0","15","9","2","0","13","8","1","3","0","2","0","0"
"10-150 Dimond","252","50","0","52","50","24","0","113","14","12","53","0","7","10","0"
"10-155 Oceanview No. 1","371","40","0","94","53","17","0","172","36","34","93","0","6","10","1"
"10-160 Oceanview No. 2","266","29","0","78","36","12","1","112","27","23","100","0","13","4","2"
"10-165 Oceanview No. 3","374","37","0","83","61","24","0","151","32","24","100","0","10","10","1"
"10-170 Oceanview No. 4","326","37","0","89","37","8","0","135","31","25","100","0","4","9","0"
"10-175 Oceanview No. 5","276","27","0","47","32","17","0","111","18","14","63","0","6","8","1"
"11-205 Hillside No. 1","203","37","0","45","29","10","0","84","17","27","38","0","2","8","0"
"11-210 Hillside No. 2","411","58","0","113","53","27","0","185","34","40","97","0","8","7","0"
"11-215 Hillside No. 3","277","36","1","71","22","5","0","80","25","24","64","0","2","7","1"
"11-220 Hillside No. 4","321","23","0","77","34","9","0","70","32","18","69","0","3","3","0"
"11-225 Hillside No. 5","292","19","0","64","38","9","0","105","27","35","91","0","10","4","0"
"11-230 Hillside No. 6","363","26","0","88","23","8","1","159","25","35","118","0","5","5","0"
"11-235 Hillside No. 7","256","14","0","51","11","3","0","113","27","18","92","0","3","5","0"
"12-250 Southeast Anchorage No. 1","300","53","0","62","55","18","0","129","24","13","76","0","3","2","0"
"12-255 Southeast Anchorage No. 2","206","23","0","58","23","11","0","85","19","24","39","0","3","1","2"
"12-260 Southeast Anchorage No. 3","267","53","1","54","55","18","0","106","23","18","71","0","7","2","0"
"12-265 Southeast Anchorage No. 4","267","44","0","51","42","21","1","135","27","22","90","0","4","11","0"
"12-270 Southeast Anchorage No. 5","354","50","1","81","52","19","0","159","29","29","106","0","4","5","0"
"12-275 Southeast Anchorage No. 6","274","33","1","71","43","12","0","179","28","39","134","0","6","4","0"
"13-305 South Midtown No. 1","77","8","0","19","13","8","0","35","10","5","13","0","0","0","0"
"13-310 South Midtown No. 2","373","84","0","79","71","25","0","158","35","19","82","0","4","7","1"
"13-315 South Midtown No. 3","384","70","0","91","63","31","1","173","35","26","96","0","9","5","1"
"13-320 South Midtown No. 4","299","54","1","65","61","31","0","147","27","17","78","0","7","4","0"
"13-325 South Midtown No. 5","281","47","0","57","70","25","0","183","38","16","113","0","4","5","0"
"14-350 North Midtown No. 1","84","9","0","22","33","9","0","63","10","8","49","0","2","4","0"
"14-355 North Midtown No. 2","101","12","0","30","35","7","0","81","18","11","60","0","4","6","0"
"14-360 North Midtown No. 3","96","18","0","32","30","12","1","61","6","8","23","0","1","4","0"
"14-365 North Midtown No. 4","92","19","0","43","49","17","0","95","10","8","39","0","6","5","0"
"14-370 North Midtown No. 5","251","24","1","58","60","20","0","159","28","19","81","0","17","8","2"
"14-375 North Midtown No. 6","136","23","0","43","40","8","0","107","22","13","57","0","7","4","0"
"14-380 North Midtown No. 7","227","29","0","49","57","14","0","250","32","33","199","0","4","6","0"
"15-405 Southwest Anchorage No. 1","261","24","0","48","23","11","0","97","21","23","78","0","6","4","0"
"15-410 Southwest Anchorage No. 2","308","31","1","77","34","17","0","90","30","22","104","0","7","5","0"
"15-415 Southwest Anchorage No. 3","372","57","3","84","58","23","0","127","39","29","104","0","7","8","0"
"15-420 Southwest Anchorage No. 4","236","47","0","55","55","22","0","116","22","18","66","0","5","13","0"
"15-425 Southwest Anchorage No. 5","268","35","0","77","52","19","0","149","41","32","85","0","9","3","0"
"15-430 Southwest Anchorage No. 6","459","48","0","115","60","22","0","174","46","44","152","0","7","17","1"
"16-450 West Anchorage No. 1","132","11","0","59","25","7","0","176","42","22","180","0","1","1","0"
"16-455 West Anchorage No. 2","190","33","0","54","53","24","0","151","36","24","115","0","4","3","0"
"16-460 West Anchorage No. 3","284","48","0","89","54","34","0","227","27","40","153","1","5","9","0"
"16-465 West Anchorage No. 4","179","36","1","44","28","7","0","92","17","15","61","0","3","1","1"
"16-470 West Anchorage No. 5","336","52","0","65","48","12","0","144","37","30","128","0","6","5","1"
"16-475 West Anchorage No. 6","293","36","0","53","38","14","0","149","23","19","99","0","4","2","1"
"16-480 West Anchorage No. 7","167","39","1","45","50","17","0","112","19","16","61","0","6","4","0"
"17-505 Downtown Anchorage No. 1","90","8","0","28","31","6","0","116","14","11","63","0","3","2","0"
"17-510 Downtown Anchorage No. 2","104","10","0","33","43","12","0","155","22","19","132","0","5","1","2"
"17-515 Downtown Anchorage No. 3","82","16","0","28","8","3","0","114","15","18","74","1","3","0","1"
"17-520 Downtown Anchorage No. 4","143","33","0","43","66","21","0","176","21","11","95","0","4","1","1"
"17-525 Downtown Anchorage No. 5","107","17","0","23","42","13","0","123","13","17","59","0","7","2","0"
"17-530 Downtown Anchorage No. 6","68","18","0","14","47","13","0","74","14","8","34","0","5","2","0"
"17-535 Downtown Anchorage No. 7","90","24","0","31","54","15","0","104","11","8","46","0","11","2","0"
"18-550 Government Hill","91","12","0","20","36","13","0","83","17","8","55","0","6","2","0"
"18-555 JBER","195","25","3","64","39","4","1","94","9","12","26","0","4","7","0"
"18-560 North Muldoon","90","25","0","22","43","10","0","60","7","7","26","0","4","2","0"
"18-565 Ship Creek","27","2","0","6","10","1","0","25","1","3","12","0","0","0","0"
"19-605 Airport Heights No. 1","163","19","0","50","74","17","0","219","31","14","136","0","3","5","2"
"19-610 Airport Heights No. 2","179","52","0","55","47","27","0","125","32","19","61","0","11","7","1"
"19-615 Mountainview No. 1","70","24","0","25","50","15","0","62","17","14","17","0","4","6","0"
"19-620 Mountainview No. 2","87","14","0","28","31","12","0","30","12","7","20","0","6","0","0"
"19-625 South Mountainview","128","33","0","41","28","8","0","70","14","10","29","1","4","3","0"
"20-650 University No. 1","59","17","1","17","26","7","0","43","4","6","27","1","1","6","0"
"20-655 University No. 2","233","39","0","61","50","31","0","144","24","27","79","0","5","8","1"
"20-660 University No. 3","241","45","0","52","53","18","1","197","31","27","129","0","6","3","1"
"20-665 University No. 4","92","18","0","35","31","4","0","108","12","12","48","0","1","4","0"
"20-670 University No. 5","442","77","1","108","99","42","1","247","38","31","132","0","5","9","1"
"21-705 East Anchorage No. 1","258","37","0","40","62","19","1","178","29","12","93","0","5","12","3"
"21-710 East Anchorage No. 2","351","55","0","56","52","22","0","133","17","26","65","0","5","3","1"
"21-715 East Anchorage No. 3","388","96","3","88","87","28","0","184","24","22","78","0","9","8","3"
"21-720 East Anchorage No. 4","307","48","0","60","68","22","0","175","25","16","115","1","2","2","0"
"21-725 East Anchorage No. 5","428","71","1","86","75","40","0","223","47","31","135","0","4","7","3"
"22-750 Northeast Anchorage No. 1","248","52","0","51","74","30","1","138","19","19","49","1","6","16","0"
"22-755 Northeast Anchorage No. 2","247","49","0","63","56","18","0","131","19","17","37","0","4","8","0"
"22-760 Northeast Anchorage No. 3","286","53","0","70","90","28","0","164","28","11","54","0","7","10","0"
"22-765 Northeast Anchorage No. 4","163","44","1","34","44","15","0","84","21","13","46","0","3","6","0"
"23-805 Chugach Park No. 1","575","40","0","148","58","29","0","179","45","31","126","0","7","7","2"
"23-810 Eagle River No. 1","406","32","0","76","32","18","0","85","27","32","49","0","7","12","0"
"23-815 Eagle River No. 2","354","35","1","68","42","19","0","106","19","25","52","1","6","4","0"
"23-820 Hiland","358","43","0","72","17","8","0","85","13","28","63","0","6","5","0"
"23-825 Meadow Creek No. 1","426","43","0","87","54","15","0","107","21","18","75","0","7","16","0"
"23-830 Meadow Creek No. 2","273","25","0","46","20","10","0","69","12","14","37","0","6","6","0"
"24-850 Chugach Park No. 2","452","28","1","70","24","9","0","87","30","22","82","0","5","5","1"
"24-855 Chugiak","193","22","1","32","18","8","0","35","10","13","31","0","0","7","0"
"24-860 Eagle River No. 3","301","38","0","66","35","17","0","59","24","23","38","0","3","7","0"
"24-865 Eklutna","427","41","1","58","30","13","0","105","14","17","55","0","2","8","0"
"24-870 Fire Lake","432","49","1","87","31","17","0","84","24","30","69","0","6","6","0"
"24-875 Peters Creek No. 1","633","54","0","113","24","11","1","111","26","22","68","0","4","20","0"
"24-880 Peters Creek No. 2","330","31","0","46","24","7","0","59","29","15","36","0","9","4","3"
"25-305 Butte","722","77","2","121","38","31","0","81","25","33","67","0","9","11","1"
"25-310 Greater Palmer","313","49","0","55","21","16","0","50","16","13","43","0","2","5","0"
"25-315 Lazy Mountain","443","51","0","57","27","12","0","77","19","8","62","0","11","10","0"
"25-320 Palmer City No. 1","293","48","1","52","27","16","0","88","20","13","54","1","2","7","0"
"25-325 Palmer City No. 2","258","43","0","39","21","5","0","71","9","12","36","0","5","7","0"
"25-330 Springer Loop","405","54","0","62","25","16","0","85","26","16","52","0","2","8","0"
"25-335 Walby","415","69","0","74","15","15","0","52","10","10","42","0","4","18","0"
"26-350 Fairview No. 1","357","21","0","48","6","4","0","31","10","10","14","0","3","12","0"
"26-355 Fairview No. 2","201","27","0","49","20","4","0","27","6","7","19","0","3","2","1"
"26-360 Knik Goose Bay No. 1","641","71","3","109","40","10","1","64","14","15","28","0","16","25","3"
"26-365 Knik Goose Bay No. 2","441","43","0","64","27","11","0","38","10","5","26","0","6","10","0"
"26-370 Knik Goose Bay No. 3","268","36","1","35","13","6","0","16","8","4","15","0","9","2","0"
"26-375 Mat-Su Campus","377","33","0","63","17","7","0","53","15","11","55","0","4","6","2"
"26-380 Snowshoe","649","50","0","87","27","13","0","61","22","21","38","0","4","13","2"
"27-405 Foothills","413","29","1","64","29","12","0","41","10","8","17","0","11","6","0"
"27-410 Meadow Lakes No. 1","631","55","1","91","23","15","0","71","14","16","27","0","8","19","3"
"27-415 Meadow Lakes No. 2","496","46","1","55","24","14","0","47","9","15","24","0","9","14","1"
"27-420 Wasilla No. 1","446","50","0","55","28","15","0","46","20","13","29","0","6","9","1"
"27-425 Wasilla No. 2","603","57","1","98","28","20","0","59","25","24","33","0","11","24","2"
"28-450 Lakes No. 1","345","31","1","47","21","13","0","33","7","13","30","0","6","6","2"
"28-455 Lakes No. 2","283","30","1","41","11","10","0","30","3","11","17","0","0","1","0"
"28-460 Seldon No. 1","516","45","1","66","29","11","0","43","10","13","23","0","2","10","1"
"28-465 Seldon No. 2","609","79","1","66","38","26","0","97","24","19","39","0","8","22","0"
"28-470 Seward Meridian","255","24","0","46","12","6","0","42","6","10","12","1","5","5","0"
"28-475 Trunk","435","52","1","87","22","14","0","69","16","19","29","0","7","4","1"
"28-480 Wasilla Lake","257","16","0","28","15","4","0","34","6","9","7","0","4","4","0"
"29-505 Farm Loop","639","65","1","86","26","8","0","70","25","15","59","0","3","8","1"
"29-510 Fishhook","765","88","1","123","38","14","1","122","38","32","67","0","4","9","1"
"29-515 Kings Lake","581","55","2","74","21","19","0","59","13","17","29","0","3","17","0"
"29-520 Lakes No. 3","236","29","1","26","20","10","0","26","4","3","18","0","2","4","0"
"29-525 Sheep Mountain","91","1","0","8","5","0","0","13","4","0","5","0","0","1","0"
"29-530 Sutton","286","32","0","30","27","3","0","43","11","6","23","0","2","5","0"
"29-535 Valdez No. 1","139","9","0","44","7","5","0","39","47","32","90","0","3","2","0"
"29-540 Valdez No. 2","79","7","0","19","4","1","0","16","31","18","51","0","1","5","0"
"29-545 Valdez No. 3","138","13","0","35","8","4","0","27","41","28","50","0","6","3","0"
"30-550 Anderson/Clear","69","8","0","14","2","1","0","8","4","3","7","0","4","2","0"
"30-555 Big Lake","699","73","1","115","24","15","0","81","32","15","34","0","9","23","1"
"30-560 Cantwell","31","4","0","12","4","0","0","16","5","2","9","0","1","3","0"
"30-565 Denali Park","6","0","0","4","13","2","0","41","3","1","7","0","2","0","0"
"30-570 East Schrock","56","13","0","2","3","0","0","8","4","0","5","0","0","5","0"
"30-575 Healy","154","4","0","37","15","3","0","51","9","6","46","0","2","7","0"
"30-580 Houston","334","48","0","55","24","9","0","28","12","9","24","0","10","12","0"
"30-585 Knik Goose Bay No. 4","628","60","0","79","30","12","0","62","16","17","30","0","11","28","1"
"30-590 Trapper Creek","101","11","0","14","6","3","0","6","5","2","5","0","3","5","0"
"30-595 Susitna","279","34","0","40","24","6","0","32","12","5","28","0","7","8","0"
"30-600 Talkeetna","104","10","0","20","24","4","0","69","16","5","62","0","3","3","0"
"30-605 Willow","536","90","1","76","35","13","0","75","23","13","47","0","8","22","2"
"31-446 Aurora","330","53","0","82","42","13","0","99","46","40","133","0","9","8","0"
"31-455 Fairbanks No. 1","311","35","0","97","37","16","0","135","74","43","146","0","11","6","1"
"31-480 Fairbanks No. 2","280","48","0","110","34","9","0","117","63","49","150","1","8","5","0"
"31-485 Fairbanks No. 3","243","48","0","89","51","21","0","95","45","32","89","1","11","4","2"
"32-355 Fairbanks No. 4","254","31","0","77","33","12","0","87","41","24","97","0","7","5","0"
"32-365 Fairbanks No. 5","220","23","0","71","21","6","0","59","33","22","89","0","4","4","0"
"32-375 Fort Wainwright","42","6","0","26","7","2","0","25","0","10","6","0","3","5","0"
"32-385 Badger No. 2","535","62","0","117","32","12","0","69","44","36","73","0","8","13","0"
"33-130 Badger No. 1","538","56","0","107","28","12","0","69","38","35","70","0","3","13","0"
"33-135 Chena Lakes","587","56","1","94","21","18","1","44","37","31","43","0","3","16","0"
"33-155 Moose Creek","76","5","0","9","1","3","0","9","4","3","4","0","2","0","0"
"33-165 Newby","670","75","0","133","30","15","0","64","24","40","69","0","2","17","1"
"33-175 North Pole","299","34","0","61","23","5","0","36","21","12","30","0","5","7","1"
"33-183 Plack","565","70","0","119","25","9","0","45","33","28","39","0","6","17","0"
"34-235 Eielson","89","12","0","33","6","1","0","19","3","7","10","0","1","1","0"
"34-238 Eielson Farm Road","33","2","0","7","1","3","0","3","1","2","6","0","0","0","0"
"34-240 Farmers Loop","243","27","0","69","29","5","0","179","43","29","241","0","7","7","0"
"34-260 Salcha","247","31","1","42","8","4","0","18","20","13","35","0","3","8","0"
"34-263 Steele Creek","478","43","0","104","21","11","0","105","47","41","136","0","8","11","1"
"34-265 Steese","492","42","0","93","29","8","0","108","53","33","157","0","10","12","1"
"34-270 Summit","340","47","0","106","15","3","0","88","38","27","132","0","6","15","0"
"34-280 Two Rivers","245","27","1","41","14","1","1","46","18","14","62","0","0","3","1"
"35-580 Airport","133","17","0","30","7","2","0","29","18","14","35","0","3","4","0"
"35-582 Chena","481","50","0","140","33","11","0","171","77","43","289","1","17","7","2"
"35-584 Ester","167","15","0","39","21","5","0","120","39","14","153","0","2","3","0"
"35-586 Geist","180","15","0","53","24","6","0","71","31","36","116","0","2","3","0"
"35-587 Lakeview","51","10","0","13","7","1","0","10","5","2","12","0","0","5","0"
"35-592 Shanly","104","17","0","32","25","10","0","66","30","16","83","0","0","2","0"
"35-595 University Hills","135","15","0","33","21","8","0","136","32","15","189","0","2","2","0"
"35-596 University West","394","49","0","134","54","14","0","184","78","57","223","0","7","17","0"
"36-001 Goldstream No. 1","208","14","0","48","16","6","0","109","48","26","149","0","4","6","1"
"36-002 Goldstream No. 2","171","15","0","42","29","4","0","145","33","24","229","0","2","3","2"
"36-010 Allakaket","11","2","0","3","6","2","0","4","16","4","6","0","1","1","0"
"36-014 Anvik","6","1","0","3","1","0","0","4","5","3","1","0","1","2","0"
"36-018 Arctic Village","4","2","0","1","8","2","0","4","5","3","3","0","0","0","0"
"36-022 Beaver","3","4","0","1","2","0","0","2","4","4","4","0","0","0","0"
"36-026 Bettles","8","1","0","0","1","0","0","3","2","0","1","0","0","0","0"
"36-034 Central","23","3","0","4","3","0","0","2","1","2","3","0","0","0","0"
"36-038 Chistochina","33","2","0","8","3","0","0","5","8","2","4","0","0","5","0"
"36-042 Circle","7","0","0","3","3","1","0","0","3","0","2","0","3","0","0"
"36-046 Copper Center","133","15","0","36","9","1","0","17","14","16","27","0","4","4","2"
"36-050 Delta Junction","210","17","0","34","0","0","0","11","3","7","13","0","2","4","0"
"36-054 Deltana","703","53","0","101","18","10","0","38","27","25","41","0","6","25","2"
"36-058 Dot Lake","34","0","0","3","0","0","0","0","1","1","0","0","1","1","0"
"36-062 Eagle","31","0","0","2","1","1","0","2","6","0","1","0","0","0","1"
"36-066 Fort Yukon","33","8","0","6","16","2","0","13","27","10","10","0","4","0","0"
"36-070 Gakona","40","0","0","11","3","1","0","3","10","4","6","0","0","1","0"
"36-074 Galena","31","3","0","18","14","5","0","14","21","8","15","0","2","1","0"
"36-078 Glennallen","90","11","0","18","1","1","0","7","4","6","8","0","0","2","0"
"36-082 Grayling","16","2","0","7","5","0","0","1","12","3","2","0","1","0","1"
"36-086 Holy Cross","8","1","0","4","1","1","0","1","5","4","5","0","0","0","1"
"36-090 Hughes","8","3","0","7","0","1","0","2","2","3","4","0","2","0","0"
"36-094 Huslia","20","6","0","13","5","2","0","3","12","6","10","0","0","1","0"
"36-098 Kaltag","16","1","0","2","8","0","0","2","12","2","2","0","1","1","0"
"36-102 Kenny Lake","74","6","0","26","8","2","0","9","5","2","19","0","0","2","0"
"36-106 Koyukuk","6","1","0","3","4","0","0","5","7","1","5","0","0","1","0"
"36-110 Manley","30","4","0","2","0","0","0","5","1","0","2","0","0","1","0"
"36-114 McGrath","43","6","0","12","3","3","0","4","5","2","2","0","0","2","0"
"36-118 Mentasta","15","1","0","2","1","2","0","2","3","3","1","0","1","0","0"
"36-122 Minto","13","2","0","4","2","2","0","2","5","9","5","0","1","0","0"
"36-126 Nenana","119","15","0","31","16","5","0","19","22","11","26","0","3","4","0"
"36-130 Nikolai","9","4","0","6","4","2","0","1","7","0","5","0","0","1","0"
"36-134 Northway","34","8","0","14","3","2","1","2","5","2","1","0","3","1","0"
"36-138 Nulato","10","3","0","10","7","3","0","2","20","8","4","0","0","0","0"
"36-142 Ruby","15","1","0","5","1","0","0","1","7","2","2","0","0","1","0"
"36-146 Shageluk","7","0","0","1","2","0","0","1","4","2","4","0","0","1","0"
"36-162 Tanana","9","0","0","3","6","3","0","8","17","2","10","0","4","0","1"
"36-166 Tetlin","4","4","0","7","0","3","0","3","0","1","2","0","0","0","0"
"36-170 Tok","311","27","0","34","11","5","0","10","16","15","26","0","6","10","1"
"36-174 Venetie","18","1","0","2","6","0","0","2","9","4","0","0","1","1","0"
"37-700 Akutan","11","8","0","6","3","2","1","1","2","3","6","0","3","0","2"
"37-702 Aleknagik","18","5","0","2","4","0","0","4","5","2","7","0","4","0","0"
"37-704 Aleutians No. 1","6","0","0","3","0","0","0","2","2","2","3","0","2","0","0"
"37-706 Aleutians No. 2","173","25","1","42","36","7","0","40","47","10","37","0","4","9","2"
"37-707 Aniak","21","7","1","15","4","1","0","12","7","9","16","0","2","1","0"
"37-708 Chignik","1","0","0","1","4","0","0","3","0","1","0","0","0","0","0"
"37-709 Chuathbaluk","6","4","0","0","0","0","0","4","2","0","5","0","0","0","0"
"37-710 Clark's Point","2","0","0","0","0","1","0","2","1","1","5","0","0","0","0"
"37-712 Cold Bay","3","0","0","0","0","0","0","3","0","5","3","0","0","0","0"
"37-713 Crooked Creek","0","1","0","2","2","1","0","0","1","1","3","0","0","1","0"
"37-714 Dillingham","141","26","0","40","69","23","0","122","51","23","67","0","8","7","0"
"37-716 Egegik","1","0","0","1","1","0","0","0","2","0","0","0","0","0","0"
"37-718 Ekwok","9","5","0","3","3","1","0","3","5","1","2","0","1","1","0"
