"1","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Overvote","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank"
"01-680 Metlakatla","6","0","3","0","7","0","4","0","8","0","0","0","0","1","9","6","0","6","0","0","0","2","0","0","0","0","0","0","30","12","0","32","2","0","0","5","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","5"
"01-690 Wrangell","38","0","26","0","20","1","27","0","19","4","5","1","0","0","110","86","0","34","3","0","3","8","0","0","2","0","0","0","42","35","0","28","5","0","0","4","0","0","1","3","0","0","0","1","0","1","0","0","1","1","0","0","0","0","0","7"
"02-700 Angoon","7","0","0","0","1","0","4","0","7","2","0","0","1","1","2","1","0","1","0","0","0","3","0","0","0","0","0","1","11","8","0","21","4","0","0","5","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"02-705 Craig","21","0","11","0","8","3","2","0","10","2","0","0","1","0","30","20","0","13","2","0","4","5","0","1","0","0","0","1","30","30","0","20","3","0","0","0","0","0","2","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","2"
"02-720 Hoonah","20","0","2","0","4","0","6","0","9","1","1","0","0","0","30","16","0","10","0","0","0","5","0","0","0","0","0","0","23","12","0","17","3","0","0","4","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2"
"02-725 Hydaburg","2","0","0","0","1","0","1","0","2","0","0","0","0","1","2","0","0","1","0","0","1","2","0","0","0","0","0","0","9","6","0","8","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2"
"02-730 Kake","3","0","0","0","6","0","3","0","12","2","0","0","1","0","5","2","0","6","0","0","1","3","0","0","0","0","0","0","7","10","0","18","1","0","0","6","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"02-735 Kasaan","0","0","0","0","1","0","2","0","0","0","0","0","0","0","3","2","0","2","1","0","0","1","0","0","0","0","0","0","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"02-740 Klawock","14","0","2","0","3","1","1","0","5","0","0","0","0","0","67","22","0","7","1","0","0","4","0","0","0","2","0","0","27","22","0","11","3","0","1","2","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"02-750 Pelican-Elfin Cove","2","0","2","0","0","0","1","0","2","0","0","0","0","0","2","1","0","3","0","0","0","1","0","0","0","2","0","0","1","4","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"02-755 Petersburg-Kupreanof","55","0","59","0","24","1","23","0","31","2","0","2","0","0","120","87","0","35","3","1","4","7","0","0","0","0","0","1","82","89","0","55","5","1","5","3","0","0","6","7","0","2","1","0","0","0","1","0","0","0","0","2","0","0","0","11"
"02-760 Port Alexander","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","4","3","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"02-765 Sitka No. 1","40","1","26","0","16","0","21","0","38","3","2","0","1","0","89","71","0","40","8","1","3","18","0","0","5","2","0","1","139","123","0","100","16","0","4","8","0","0","9","13","0","4","1","1","0","0","3","1","0","0","0","0","1","0","0","7"
"02-770 Sitka No. 2","33","0","25","0","20","2","35","0","39","4","0","0","0","1","88","62","0","35","5","0","2","11","0","0","1","0","0","0","166","166","0","107","28","0","2","8","0","0","19","24","0","6","1","0","0","1","2","0","0","0","0","0","2","0","0","16"
"02-775 Tenakee Springs","1","0","2","0","0","0","1","0","0","0","0","0","0","1","4","2","0","1","0","0","0","0","0","0","0","0","0","0","20","11","0","6","1","0","1","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"02-780 Thorne Bay","3","0","6","0","1","0","0","0","2","1","0","0","1","0","50","29","0","5","0","0","2","2","0","0","0","0","0","0","5","9","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"02-785 Yakutat","8","0","8","0","5","0","4","0","4","1","0","0","0","0","11","3","0","10","1","0","1","3","0","0","0","0","0","0","22","26","0","20","5","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1"
"03-300 Auke Bay","37","0","50","0","23","4","32","0","23","5","0","3","0","1","42","47","0","17","2","0","1","4","0","0","0","0","0","0","77","113","0","52","11","0","3","7","0","0","20","14","0","9","0","0","0","1","0","0","0","0","0","0","2","0","0","8"
"03-305 Lynn Canal","21","0","42","0","14","7","15","0","16","4","3","0","4","0","27","40","0","20","1","0","0","4","0","0","0","1","0","0","123","121","0","56","11","0","9","5","0","1","15","11","0","1","0","0","0","1","1","2","0","0","0","0","3","0","0","3"
"03-310 Melvin Park","40","0","42","0","19","4","11","0","24","6","2","3","1","0","29","28","0","14","4","0","1","5","0","0","1","0","0","0","77","79","0","66","14","0","1","12","0","0","10","9","0","3","1","0","0","1","1","0","0","0","0","0","1","0","1","2"
"03-315 Mendenhall Glacier","40","0","64","0","28","5","36","2","23","8","4","1","3","0","74","89","0","40","12","0","2","5","0","0","3","3","0","0","113","121","0","96","17","0","8","17","0","0","14","22","0","6","1","0","0","3","1","1","0","0","0","3","1","0","1","6"
"03-320 Thunder Mountain","38","0","62","0","30","6","32","0","36","1","2","0","0","0","45","74","0","39","11","0","2","11","0","0","0","0","0","0","96","115","0","88","18","0","3","13","0","0","12","15","0","3","2","0","0","0","1","0","0","0","0","0","4","0","0","4"
"03-325 Gustavus","0","0","5","0","3","1","3","0","5","0","0","0","0","0","9","14","0","10","4","0","0","1","0","0","0","0","0","0","47","40","0","10","1","0","3","3","0","0","7","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"03-330 Haines No. 1","31","0","47","0","18","1","15","0","26","0","0","0","1","0","48","40","0","33","3","0","4","5","0","0","1","3","0","1","131","67","0","75","8","0","3","8","0","0","18","14","0","3","1","2","0","0","0","0","0","0","0","0","0","0","0","10"
"03-335 Haines No. 2","6","0","10","0","4","3","2","0","1","0","0","0","0","0","11","13","0","2","0","0","0","0","0","0","0","0","0","0","24","14","0","4","2","0","0","1","0","0","2","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","5"
"03-340 Klukwan","1","0","0","0","2","0","1","0","3","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","12","4","0","9","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","3"
"03-345 Skagway","17","0","13","0","12","0","6","0","11","2","0","0","0","0","13","15","0","6","0","0","0","4","0","0","0","0","0","0","88","70","0","45","10","0","2","5","0","0","6","7","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","15"
"04-100 Douglas","30","0","21","0","8","3","18","0","21","3","0","3","1","0","15","19","0","12","0","0","0","3","0","0","1","1","0","0","126","136","0","74","16","0","5","8","0","0","25","22","0","8","0","0","0","0","0","0","0","0","1","0","1","0","0","7"
"04-105 Juneau Airport Area","19","0","16","0","11","4","7","0","11","1","1","0","2","0","23","23","0","12","5","0","0","2","0","0","1","1","0","0","36","40","0","26","3","0","2","11","0","0","4","6","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","4"
"04-110 Juneau No. 1","29","0","39","0","11","3","22","0","19","1","2","2","2","1","23","23","0","9","2","0","0","6","0","0","1","0","0","0","109","111","0","68","12","1","5","12","0","1","15","24","0","7","2","1","0","1","1","0","0","0","0","1","2","0","0","5"
"04-115 Juneau No. 2","9","0","10","0","7","2","11","0","8","2","1","1","1","1","13","14","0","3","2","0","0","1","0","0","0","0","0","0","214","178","0","80","18","1","14","22","0","0","34","57","0","18","0","2","0","0","2","0","0","0","0","0","0","0","0","10"
"04-120 Juneau No. 3","15","0","20","0","5","2","16","1","11","3","0","1","0","0","10","5","0","5","1","0","0","2","0","0","0","1","0","0","57","75","0","41","11","0","2","5","0","0","11","19","0","5","0","1","0","0","0","0","0","0","0","0","0","0","0","4"
"04-125 Lemon Creek","17","0","20","0","17","2","7","0","21","2","3","0","1","1","35","30","0","11","2","0","2","6","0","0","0","1","0","0","57","50","0","48","11","0","1","4","0","0","7","8","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","7"
"04-130 Glacier Valley Area","17","0","27","0","13","2","14","0","16","2","1","0","0","1","27","38","0","22","6","0","0","3","0","1","0","0","0","0","44","54","1","49","9","0","2","6","0","0","7","11","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","6"
"04-135 North Douglas","18","0","26","0","9","1","10","0","10","1","0","1","0","1","15","30","0","7","4","0","1","3","0","1","0","0","0","0","133","134","0","54","20","0","5","9","0","2","24","22","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","4"
"05-800 Chiniak","0","0","0","0","0","0","1","0","3","0","0","0","0","0","5","3","0","2","1","0","1","0","0","0","0","0","0","0","8","4","0","4","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"05-810 Flats","11","0","19","0","7","3","4","0","10","2","0","1","0","0","30","35","0","14","3","0","3","6","0","0","1","1","0","0","42","39","0","19","5","0","0","1","0","0","2","3","0","0","1","1","0","1","1","0","1","0","0","1","0","0","0","7"
"05-815 Kodiak Island South","2","0","1","0","1","0","0","0","4","0","0","0","0","0","1","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"05-820 Kodiak No. 1","19","0","8","0","19","5","21","0","15","3","1","0","4","1","40","26","0","30","3","0","4","18","0","0","0","0","0","0","47","40","0","38","6","0","2","7","0","0","8","7","0","1","1","2","0","1","0","0","0","0","0","0","0","0","0","10"
"05-825 Kodiak No. 2","16","0","15","0","15","2","11","0","18","1","1","0","2","0","47","31","0","45","1","0","2","18","0","0","2","0","0","0","34","31","0","20","13","1","1","7","0","0","4","5","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","9"
"05-830 Mission Road","59","0","59","0","39","4","23","0","41","8","2","0","0","2","118","102","0","65","11","0","8","16","0","0","5","2","0","0","83","87","0","58","8","0","1","8","0","0","9","19","0","1","0","1","0","2","5","0","0","0","0","0","2","0","0","9"
"05-835 Old Harbor","3","0","0","0","0","0","0","0","8","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"05-840 Ouzinkie","5","0","0","0","3","0","1","0","7","2","0","1","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","1","6","3","0","3","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"05-845 Port Lions","5","0","2","0","2","0","2","0","4","0","0","0","0","0","10","2","0","3","2","0","0","1","0","0","0","1","0","0","3","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2"
"05-860 Cordova","16","0","12","0","11","2","15","0","16","0","0","0","0","0","47","30","0","31","1","1","1","16","0","0","0","1","0","1","67","84","0","53","10","0","2","8","0","0","10","11","0","3","0","0","0","0","2","0","1","0","1","0","0","0","0","14"
"05-865 Seward-Lowell Point","30","0","16","0","11","0","17","0","23","3","1","0","1","0","45","54","0","32","7","0","1","14","0","0","0","0","0","0","78","83","0","57","10","1","4","3","0","1","5","9","0","3","2","0","0","1","0","0","0","0","0","0","1","0","0","7"
"05-870 Tatitlek","2","0","0","0","0","0","2","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"06-200 Anchor Point","34","0","108","0","28","13","17","0","26","2","0","3","2","0","124","127","0","71","11","0","2","15","0","0","4","3","0","1","47","52","0","47","5","0","0","2","0","0","11","7","0","1","2","1","0","2","1","0","1","0","0","2","0","0","0","17"
"06-210 Diamond Ridge","31","0","53","0","13","4","14","0","10","4","2","1","0","0","41","37","0","18","2","0","0","3","0","0","0","3","0","0","62","92","0","40","20","0","2","4","0","0","10","15","0","2","3","2","0","4","2","0","0","0","0","0","0","0","1","4"
"06-220 Fox River","10","0","29","0","3","2","8","0","5","3","0","0","1","0","32","33","0","9","3","0","0","1","0","0","0","0","0","0","21","26","0","17","4","0","2","1","0","0","2","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"06-230 Homer No. 1","50","0","79","0","25","7","15","0","20","3","1","2","1","1","92","70","0","22","6","1","2","7","0","1","5","0","0","0","109","122","0","66","21","0","4","8","0","0","14","29","0","1","2","0","0","0","0","0","0","0","0","0","3","0","0","14"
"06-240 Homer No. 2","23","0","79","0","22","3","18","0","20","2","1","1","4","1","69","71","0","28","8","0","2","5","0","1","3","1","0","0","91","102","0","58","18","0","0","3","0","0","7","8","0","1","1","0","0","0","1","1","0","0","0","1","1","0","0","12"
"06-250 Kachemak-Fritz Creek","38","0","81","0","26","7","27","0","23","5","0","2","0","0","62","75","0","31","5","0","0","6","0","1","0","3","0","0","96","121","0","67","20","0","2","15","0","2","24","36","0","2","1","1","0","2","0","0","1","0","0","0","1","0","0","18"
"06-260 Kasilof","61","0","107","0","35","6","31","0","38","4","4","2","2","0","218","199","0","78","11","3","4","19","0","2","6","4","0","3","76","92","0","40","13","0","1","5","0","0","3","9","0","2","2","0","0","0","0","2","1","0","0","0","2","0","0","18"
"06-270 Ninilchik","32","0","56","0","9","3","21","0","27","3","0","0","2","0","108","97","0","53","4","1","6","11","0","1","0","4","0","0","30","36","0","30","7","0","0","3","0","0","2","3","0","0","0","0","0","0","0","1","1","0","0","0","1","0","1","28"
"06-280 Seldovia-Kachemak Bay","13","0","4","0","5","0","5","0","3","0","0","0","0","0","16","24","0","8","0","0","0","6","0","0","0","0","0","1","26","30","0","17","2","0","1","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"07-005 Central","39","0","68","0","22","9","15","0","28","5","0","2","0","0","192","104","0","63","5","1","2","12","0","0","2","2","0","1","35","31","0","24","5","0","2","3","0","0","3","9","0","1","2","2","0","1","0","1","1","0","0","1","1","0","0","10"
"07-015 Kenai No. 1","51","0","55","0","32","8","11","0","26","7","2","1","1","0","134","89","0","64","3","0","2","10","0","1","2","4","0","1","37","50","0","34","10","0","3","4","0","1","7","14","0","0","2","3","0","0","0","0","2","0","0","0","0","0","0","8"
"07-020 Kenai No. 2","31","0","31","0","15","4","7","0","19","2","0","4","1","0","82","51","0","32","3","0","2","3","0","0","4","1","0","1","27","33","0","20","2","0","2","2","0","0","6","6","0","1","1","0","0","2","1","0","0","0","0","0","0","0","1","10"
"07-025 Kenai No. 3","39","0","50","0","16","6","22","0","15","1","1","1","1","0","89","46","0","20","7","0","0","6","0","0","1","1","0","1","22","23","0","21","0","0","1","5","0","0","3","2","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","7"
"07-030 Soldotna","57","1","78","0","42","9","45","0","34","8","3","1","3","0","193","112","0","87","10","0","6","19","0","1","2","3","0","0","46","57","0","41","11","0","1","5","0","0","11","9","0","1","3","1","0","1","2","0","1","0","0","0","3","0","0","17"
"07 010 K Beach","98","1","116","0","42","5","18","0","33","6","2","5","2","0","173","150","0","56","9","1","5","10","0","0","4","3","0","0","36","46","0","24","11","0","0","8","0","0","5","6","0","3","0","2","0","6","1","1","1","0","0","0","0","0","0","5"
"08-035 Bear Creek","18","0","37","0","9","4","14","0","25","3","1","2","0","0","77","58","0","41","8","0","1","16","0","1","0","2","0","0","54","58","0","36","14","0","3","3","0","0","3","13","0","2","1","1","0","1","0","0","0","0","0","0","1","0","0","5"
"08-040 Cooper Landing","16","0","16","0","4","0","5","0","5","0","0","0","1","0","7","23","0","2","0","0","0","0","0","0","0","1","0","0","15","19","0","11","0","0","2","3","0","1","5","12","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","7"
"08-045 Funny River No. 1","26","0","32","0","5","3","9","0","16","1","2","1","1","0","119","61","0","21","3","1","2","5","0","0","2","2","0","0","26","21","0","19","4","0","0","3","0","0","2","4","0","1","1","0","0","1","1","0","1","0","0","0","0","0","0","11"
"08-050 Funny River No. 2","29","0","38","0","12","3","9","0","9","0","0","3","1","0","62","54","0","18","6","0","2","4","0","0","1","3","0","0","21","18","0","13","3","0","1","2","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","7"
"08-055 Hope","3","0","7","0","1","0","4","0","2","1","0","0","0","0","1","2","0","1","1","0","0","0","0","0","0","0","0","0","9","13","0","11","4","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"08-060 Mackey Lake","49","0","89","0","31","8","16","0","20","2","1","1","0","2","151","107","0","48","11","1","10","13","0","0","2","2","0","1","34","37","0","32","11","0","2","2","0","0","5","3","0","0","2","1","0","1","2","0","0","0","0","0","0","0","0","11"
"08-065 Moose Pass","8","0","9","0","2","0","3","0","2","1","0","0","0","0","20","16","0","5","1","0","1","2","0","0","0","0","0","0","25","14","0","5","3","0","2","1","0","0","2","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"08-070 Nikiski","53","0","90","0","25","9","9","0","20","1","2","2","1","0","175","114","0","55","12","0","4","22","0","2","3","6","0","1","24","25","0","23","3","0","0","2","0","0","4","3","0","1","2","0","0","2","1","0","0","0","0","0","1","0","0","17"
"08-075 Salamatof","65","0","92","0","27","11","13","0","26","3","1","7","2","0","179","105","0","59","6","1","7","29","0","0","7","4","0","2","23","23","0","22","9","0","3","5","0","0","3","5","0","0","2","0","0","0","2","0","0","0","1","0","0","0","0","19"
"08-080 Sterling No. 1","55","0","85","0","26","5","19","0","17","2","1","1","0","0","201","132","0","37","7","1","4","14","0","0","5","5","0","0","26","37","0","32","5","0","2","1","0","0","1","3","0","0","1","0","0","1","0","0","4","0","0","0","1","0","0","5"
"08-085 Sterling No. 2","57","0","79","0","23","7","18","0","23","4","0","1","2","0","193","154","0","82","15","0","6","22","0","1","1","10","0","2","28","34","0","28","2","0","2","3","0","0","2","7","0","0","0","2","0","0","1","0","0","0","0","0","1","0","0","12"
"09-105 Girdwood","13","0","30","0","11","4","17","0","27","7","3","1","1","1","10","15","0","14","4","0","1","3","0","1","1","1","0","0","109","114","0","95","39","0","4","8","0","0","33","47","0","6","1","2","0","0","4","0","0","0","0","2","8","0","1","6"
"09-110 Indian","8","0","9","0","1","2","5","0","5","3","0","1","0","0","9","13","0","5","0","0","0","0","0","0","0","0","0","0","12","34","0","13","0","0","1","0","0","0","1","6","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","1"
"09-115 South Anchorage No. 1","52","0","110","0","38","24","39","0","38","8","3","4","5","1","70","101","0","49","14","0","4","9","0","0","8","6","0","1","87","121","0","86","28","0","3","11","0","0","12","35","0","2","3","0","0","4","3","0","3","0","1","4","8","0","2","17"
"09-120 South Anchorage No. 2","72","0","210","0","43","15","47","0","52","4","8","4","5","0","68","132","0","42","14","0","1","11","0","0","4","3","0","1","106","143","0","86","26","0","3","9","0","1","17","36","0","7","3","5","0","2","7","1","2","0","0","1","5","0","0","13"
"09-125 South Anchorage No. 3","81","0","152","0","37","22","47","0","26","11","1","4","3","1","70","110","0","31","13","0","2","14","0","0","0","0","0","0","105","130","0","72","24","1","4","8","0","0","25","31","0","5","0","3","0","4","6","0","2","0","0","0","9","0","1","6"
"09-130 South Anchorage No. 4","93","0","172","0","39","17","41","0","54","6","4","3","6","2","61","115","0","34","14","0","0","6","0","0","1","6","0","0","91","124","0","102","22","1","6","15","0","0","22","31","0","6","3","0","0","5","7","0","2","0","0","4","9","0","0","8"
"09-135 South Anchorage No. 5","30","0","70","0","18","8","21","0","10","3","2","0","3","1","39","46","0","15","3","0","1","2","0","0","2","0","0","0","47","66","0","31","12","0","1","2","0","0","13","22","0","4","0","0","0","1","2","0","0","0","0","0","0","0","0","4"
"09-140 Stuckagain Heights","8","0","28","0","5","2","9","0","4","0","0","2","0","0","5","15","0","2","0","0","0","0","0","0","1","0","0","0","18","40","0","21","3","0","1","4","0","0","6","12","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"09-145 Whittier","4","0","4","0","4","0","3","0","7","1","0","0","0","0","7","8","0","6","0","0","2","1","0","0","0","0","0","0","6","3","0","3","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6"
"10-150 Dimond","14","0","39","0","21","5","5","0","21","6","0","2","0","0","35","54","1","32","4","0","1","8","0","0","1","0","0","0","36","38","0","59","6","1","0","11","0","0","1","9","0","0","0","0","0","3","0","0","0","0","0","1","1","0","0","3"
"10-155 Oceanview No. 1","46","0","93","0","33","9","31","0","40","9","1","1","3","1","96","91","0","30","6","0","2","7","0","0","0","1","0","0","84","96","0","51","15","0","0","11","0","0","18","17","0","1","2","1","0","1","3","0","0","0","0","1","3","0","0","8"
"10-160 Oceanview No. 2","47","0","85","0","20","10","36","0","39","8","1","2","3","1","46","56","0","19","11","0","0","9","0","0","0","1","0","0","61","80","0","48","10","0","2","8","0","1","10","18","0","1","1","0","0","2","1","0","1","0","0","1","5","0","0","3"
"10-165 Oceanview No. 3","33","0","94","0","29","8","18","0","37","8","0","0","1","0","67","80","0","35","7","0","0","11","0","0","4","3","0","1","73","71","0","74","18","0","5","7","0","0","14","10","0","4","1","2","0","0","2","0","0","0","0","0","2","0","4","9"
"10-170 Oceanview No. 4","60","0","103","0","29","7","41","0","24","8","0","6","7","0","51","77","0","38","8","0","1","8","0","0","0","1","0","0","73","89","0","66","14","0","4","9","0","1","10","20","0","5","1","2","0","4","7","0","3","0","0","1","3","0","1","6"
"10-175 Oceanview No. 5","36","0","76","0","16","4","18","0","19","1","2","2","1","0","35","64","0","19","7","0","1","1","0","0","0","1","0","0","71","67","0","37","5","0","3","6","0","0","7","7","0","4","0","0","0","2","1","1","1","0","1","4","2","0","0","7"
"11-205 Hillside No. 1","8","0","26","0","11","4","9","0","22","3","0","0","1","0","35","32","0","20","10","0","0","10","0","0","2","1","0","1","37","34","0","36","9","0","1","5","0","0","3","7","0","2","0","0","0","2","0","0","0","0","0","0","1","0","1","4"
"11-210 Hillside No. 2","54","0","107","0","37","8","30","0","38","3","2","2","3","0","85","106","0","39","3","0","4","9","0","1","0","0","0","0","89","94","0","78","23","0","7","12","0","0","11","27","0","3","3","3","0","1","3","0","1","0","0","1","6","0","0","1"
"11-215 Hillside No. 3","41","0","72","0","35","3","17","0","27","8","4","1","3","1","49","58","0","17","8","1","2","9","0","1","2","1","0","0","38","57","0","46","10","0","2","5","0","1","11","14","0","2","2","0","0","3","2","0","3","0","0","0","2","0","0","7"
"11-220 Hillside No. 4","32","0","72","0","28","9","16","0","24","2","0","3","1","0","63","84","1","32","16","0","0","5","0","0","4","2","0","1","41","48","0","48","11","0","0","7","1","0","4","14","0","1","1","2","0","1","1","0","1","0","0","2","3","0","0","2"
"11-225 Hillside No. 5","43","0","97","0","29","7","23","0","33","6","4","5","2","0","49","63","0","23","3","0","3","9","0","0","3","3","0","0","60","82","0","51","11","0","5","8","0","2","5","20","0","0","0","0","0","3","2","0","0","0","0","3","0","0","0","2"
"11-230 Hillside No. 6","66","0","147","0","25","9","34","0","37","2","7","2","4","1","40","81","0","21","10","0","2","11","0","0","2","2","0","0","71","114","0","63","27","0","3","5","0","1","12","30","0","3","2","2","0","1","4","0","1","0","0","1","1","0","1","2"
"11-235 Hillside No. 7","37","0","76","0","28","5","23","0","31","5","0","2","6","0","38","64","0","26","7","0","1","1","0","0","0","5","0","0","59","115","0","42","20","0","1","7","0","1","13","18","0","12","2","0","0","2","1","0","0","0","0","1","3","0","0","6"
